name,href,years,imdb_description,pg_rating,imdb_genre_tags,imdb_rating,num_votes,img_thumbnail,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords,is_anime
Another,/title/tt2176165/,(2012),"A young man named, Koichi Sakakibara, transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths.",TV-MA,"Animation, Drama, Fantasy",7.5,16280,"https://m.media-amazon.com/images/M/MV5BNWYzNmZmMTUtNzI1YS00NTYwLWIxYWQtMThmYjY1Y2MwZDc2XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UX67_CR0,0,67,98_AL_.jpg",42589.0,Another,アナザー,ja,['JP'],31.75,8.533,837.0,2012-01-10,False,/zut15joYgakBBSGUCFlISAdOemQ.jpg,"When Kouichi arrives at his new school, he immediately senses something frightening in the atmosphere of his new class, something that no student wants to talk about and that seems to be related to a mysterious and silent girl.",,"Animation, Drama, Mystery","Tokyo MX, KBS Kyoto, Chiba TV","suicide, amnesia, based on novel or book, supernatural, gore, tragedy, curse, school, hospital, middle school, massacre, death, ghost, dark fantasy, school life, angst, seinen, mind alteration, anime, classmates",1
Kaguya-sama: Love is War,/title/tt9522300/,(2019– ),The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,TV-14,"Animation, Comedy, Romance",8.5,16006,"https://m.media-amazon.com/images/M/MV5BYjEwNjEwYzgtZGZkMy00MTBjLTg2MmYtNDk0MzY2NmU0MmNiXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UY98_CR1,0,67,98_AL_.jpg",83121.0,Kaguya-sama: Love Is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,ja,['JP'],91.243,8.693,605.0,2019-01-12,False,/5khbC6AuNgnvnoDbjIMKCOhEtIc.jpg,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.",,"Animation, Comedy, Drama","Gunma TV, Tokyo MX, BS11, Tochigi TV","high school, psychology, romantic comedy, romance, based on manga, school life, seinen, anime",1
Shaun the Sheep,/title/tt0983983/,(2007–2020),"Shaun The Sheep is a cheeky and mischievous sheep at Mossy Bottom farm who's the leader of the flock and always plays slapstick jokes, pranks and causes trouble especially on Farmer X and his grumpy guide dog, Bitzer.",TV-G,"Animation, Short, Comedy",8.2,15374,"https://m.media-amazon.com/images/M/MV5BNDExMGUxMjAtMTY0Mi00MDBiLTg3MGItOWY4ZTM3NGZjYTBjXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_UX67_CR0,0,67,98_AL_.jpg",3902.0,Shaun the Sheep,Shaun the Sheep,en,['GB'],57.744,7.807,161.0,2007-03-05,False,/z2gPfTQd3I0JLWOAEdKYMQRLoun.jpg,"Shaun the Sheep thinks and acts like a person in a barnyard, which usually gets him into trouble. The farmer's sheepdog, Bitzer, tries to keep Shaun and his friends out of trouble. The farmer is oblivious to the humanlike features of his flock, who are like one big, happy family.",,"Animation, Comedy, Kids, Family",CBBC,"farm, sheep, countryside, pig, stop motion, dog, animal, farmer, claymation, sheep dog, sheep farm",0
The Angry Beavers,/title/tt0131664/,(1997–2001),The wacky and sometimes surreal adventures of Norbert and Daggett Beaver.,TV-G,"Animation, Comedy, Family",7.2,15313,"https://m.media-amazon.com/images/M/MV5BMTBiNDVjNWUtYmExNy00ZjkyLWE3ZTEtNjhlZjc2MGU4MDU1XkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_UX67_CR0,0,67,98_AL_.jpg",3579.0,The Angry Beavers,The Angry Beavers,en,['US'],31.826,7.025,181.0,1997-04-19,False,/vjwWVj2u6wqNiADaf1hbSlxFRbJ.jpg,"The Angry Beavers is an American animated television series created by Mitch Schauer for the Nickelodeon channel. The series revolves around Daggett and Norbert Beaver, two young beaver brothers who have left their home to become bachelors in the forest near the fictional Wayouttatown, Oregon.",,"Animation, Comedy",Nickelodeon,"beaver, forest",0
Santa Inc.,/title/tt12286260/,(2021),An elf working in Santa's Workshop in the North Pole dreams of becoming Santa Claus someday.,TV-MA,"Animation, Comedy",1.6,15256,"https://m.media-amazon.com/images/M/MV5BMWM2ZGQ5MjgtZWY5Zi00NTFjLWFjMDMtYTUzZWNhZmVhNmFhXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY98_CR5,0,67,98_AL_.jpg",103214.0,Santa Inc.,Santa Inc.,en,['US'],4.141,4.129,62.0,2021-12-02,False,/kDrs3u2AXFYdbu42ZnKCcWmF9uQ.jpg,"The story of Candy Smalls, the highest-ranking female elf in the North Pole. When the successor to Santa Claus is poached by Amazon on Christmas Eve, Candy goes for her ultimate dream to become the first woman Santa Claus in the history of Christmas.","Out with the old, in with the elf.","Comedy, Animation",HBO Max,adult animation,0
Serial Experiments Lain,/title/tt0500092/,(1998),"Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired"".",TV-14,"Animation, Drama, Horror",8.1,14963,"https://m.media-amazon.com/images/M/MV5BYWY1MWJjODYtMjk5Yy00OGY3LWFjNjctMjJlMDBiMmI0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1087.0,Serial Experiments Lain,serial experiments lain,ja,['JP'],29.208,8.3,396.0,1998-07-06,False,/mAbr1imNV7gg4kHhP3VFDghmLrO.jpg,"Laindriven by the abrupt suicide of a classmatelogs on to the Wired and promptly loses herself in a twisted mass of hallucinations, memories, and interconnected-psyches.","Close the world, Open the nExt.","Animation, Drama, Sci-Fi & Fantasy, Mystery",TV Tokyo,"computer, dementia, internet, cyberpunk, cyberspace, angst, seinen, anime, virtual world, internete, internet connection, psychological horror",1
Bluey,/title/tt7678620/,(2018– ),The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,TV-Y,"Animation, Family",9.5,14563,"https://m.media-amazon.com/images/M/MV5BMDBiNDI3YjQtNDdkNS00ZDliLTlmMmQtMDE4ZWM1ZGIyNjljXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",82728.0,Bluey,Bluey,en,['AU'],159.499,8.296,218.0,2018-10-01,False,/b9mY0X5T20ZM073hoa5n0dgmbfN.jpg,"Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.",For real life?!,"Animation, Kids",ABC KIDS,"games, growing up, dog, family, toddler",0
The Wheel of Time: Origins,/title/tt16358754/,(2021– ),Experience the Origin Stories of the Wheel of Time as they bring you deeper into the world and its vast history and subjects.,TV-14,"Animation, Drama, Fantasy",7.0,14369,"https://m.media-amazon.com/images/M/MV5BM2ViODQ2MDUtZDA3Ny00Yjc0LWI5NzctMjAyZDAwNzA0NjJmXkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY98_CR56,0,67,98_AL_.jpg",223660.0,The Wheel of Time: Origins,The Wheel of Time: Origins,en,['US'],1.025,10.0,1.0,2021-11-18,False,/4LMvwHuBP7NKyUiMTpq4yY21s5T.jpg,Experience the Origin Stories of the Wheel of Time as they bring you deeper into the world and its vast history and subjects.,,,,,0
Mushi-Shi,/title/tt0807832/,(2005–2014),"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems.",TV-14,"Animation, Drama, Fantasy",8.5,13909,"https://m.media-amazon.com/images/M/MV5BZDllZTlmNjEtNzlmNC00YzgxLWExYzgtZWYyNGJkOGIwNDE0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY98_CR1,0,67,98_AL_.jpg",26867.0,Mushi-Shi,蟲師,ja,['JP'],31.837,8.118,152.0,2005-10-23,False,/6hcZcirYerZzLJbl658xn1KHr6d.jpg,"Ginko, a Mushi master, travels from place to place researching the Mushi and helping people who are suffering because of it.",,"Animation, Drama, Sci-Fi & Fantasy","Fuji TV, Gunma TV, BS11, Tokyo MX, Tochigi TV, Kansai TV","detective, supernatural, slice of life, tragedy, curse, based on manga, spirit, historical, nature, environmentalism, ghost, folklore, journey, angst, seinen, youkai, japanese mythology, shinto, anime, taoism",1
Rascal Does Not Dream of Bunny Girl Senpai,/title/tt8993398/,(2018–2019),"The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others.",TV-PG,"Animation, Drama, Fantasy",8.1,13560,"https://m.media-amazon.com/images/M/MV5BMGQ1ZjYzOGQtOWFhNy00YzQwLWEyYmItZGYwODQ4NDU3MDhlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",82739.0,Rascal Does Not Dream of Bunny Girl Senpai,青春ブタ野郎はバニーガール先輩の夢を見ない,ja,['JP'],51.341,8.648,1027.0,2018-10-04,False,/cU4jHfo1Q9AEPnFqFqtuSA74gdi.jpg,"Puberty Syndromea rumored, mysterious syndrome that only affects those in their puberty. For example, a bunny girl suddenly appeared in front of Sakuta Azusagawa. The bunny girl's real identity is Mai Sakurajima, a teenage celebrity who is currently an inactive high school senior. For some reason, her charming figure does not reflect in the eyes of others. In the course of revealing the mystery behind this phenomenon, Sakuta begins to explore his feelings towards Mai. Set in a city where the skies and seas shine, Sakuta unfolds the meaning behind his bizarre encounters on women with the said syndrome.",,"Animation, Comedy, Mystery",ABC TV,"based on novel or book, supernatural, romance, school, anime",1
Mr. Bean: The Animated Series,/title/tt0280277/,(2002–2019),A clueless yet clever loner bungles his way through life in London.,TV-Y,"Animation, Comedy, Family",6.8,13076,"https://m.media-amazon.com/images/M/MV5BMTY2NGRlZTgtZWU1ZC00NzhkLTgyMmYtYTQyZDgzYmE0ZmYzXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg",2530.0,Mr. Bean: The Animated Series,Mr. Bean: The Animated Series,en,['GB'],42.925,6.772,337.0,2002-01-05,False,/1V2PSez4pNZ9a4Bbomm7KZiQJ44.jpg,"The animated daily trials and tribulations of clueless yet clever loner Mr Bean (aided by his best friend Teddy of course!) as he stumbles from one mishap to the next, always finding complex solutions to the simplest of problems.",,"Kids, Animation, Comedy","ITV, CITV",,0
Paranoia Agent,/title/tt0433722/,(2004),"Seemingly unconnected citizens of Tokyo are targeted for bludgeoning by a boy with a golden baseball bat. As detectives try to link the victims, they discover that following the assaults, the victims' lives have improved in some way.",TV-MA,"Animation, Drama, Horror",8.0,12834,"https://m.media-amazon.com/images/M/MV5BZmUxZTBmNDctZmY1MC00MjhiLThmZTItMjc0OTJiYTQ1Y2VlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",9343.0,Paranoia Agent,妄想代理人,ja,['JP'],15.905,8.064,211.0,2004-02-03,False,/cQ6YiBTUlsKGm2mWa7mE9eZnlS2.jpg,"An elementary schooler repeatedly attacks people in the streets of Musashino, Tokyo. Known only to the public as ""Lil Slugger"", none of the victims can recall the young boy's face and only three distinct details are left in their memories: golden inline skates, a baseball cap, and the weapon: a bent golden baseball bat. Detectives Ikari and Maniwa set out to track down the perpetrator and put an end to his crimes.",,"Animation, Drama, Mystery, Sci-Fi & Fantasy",WOWOW Prime,"police investigation, anime",1
Clerks,/title/tt0210413/,(2000–2001),"The continuing adventures of clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.",R,"Animation, Comedy",7.4,12792,"https://m.media-amazon.com/images/M/MV5BODUzMmY3Y2ItZjkyYS00MTAxLThlOTctYzEzZmIzZDg0MDU3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",2.0,Clerks,Clerks,en,['US'],7.774,6.896,77.0,2000-05-31,False,/xunXvzFlkf1GGgMkCySA9CCFumB.jpg,"The continuing adventures of store clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.",,"Animation, Comedy","ABC, Comedy Central",,0
Garfield and Friends,/title/tt0094469/,(1988–1995),"Stories about Garfield the cat, Odie the dog, their owner Jon and the trouble they get into, and Orson the Pig and his adventures on a farm with fellow farm animals.",TV-G,"Animation, Comedy, Family",7.2,12262,"https://m.media-amazon.com/images/M/MV5BNGQ0ZTc2ZjMtNjE2Mi00NjU3LTkyNDktNDA0NmUwODE1OTZmXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_UX67_CR0,0,67,98_AL_.jpg",4606.0,Garfield and Friends,Garfield and Friends,en,['US'],41.014,7.241,309.0,1988-09-17,False,/3HyTfZ9sSCoZPYrYHMffhRVm3Af.jpg,"The animated stories of Garfield the cat, Odie the dog, their owner Jon and the trouble they get into. And also Orson the Pig and his adventures on a farm with his fellow farm animals.",,"Animation, Comedy",CBS,"cartoon cat, cartoon dog",0
The Road Runner Show,/title/tt0060019/,(1966–1973),"A scheming coyote, constantly at odds with a swift and clever roadrunner bird, uses various gadgets and devices to try and catch his longtime rival.",TV-G,"Animation, Family, Comedy",7.9,12120,"https://m.media-amazon.com/images/M/MV5BYzRkYWU2ZTUtOWZiYy00ZGRkLTkxOTgtODg5ZTEzNGM3ZDdmXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_UX67_CR0,0,67,98_AL_.jpg",,,,,,,,,,,,,,,,,0
Aaahh!!! Real Monsters,/title/tt0108684/,(1994–1997),"The show takes us through the struggles of life as a child monster. Three monster friends are studying how to scare humans in school. Often, their attempts don't work out as planned.",TV-Y,"Animation, Comedy, Family",7.2,12017,"https://m.media-amazon.com/images/M/MV5BNDM3MTg0ZTktMjMwYy00NjhhLTlkZTEtYjg5ZTUzYzU1ZGQ5XkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_UX67_CR0,0,67,98_AL_.jpg",2429.0,Aaahh!!! Real Monsters,Aaahh!!! Real Monsters,en,['US'],19.339,7.864,334.0,1994-10-30,False,/fnh1Mi108eNKayutKLSqesFgaRv.jpg,"Three young monsters  Ickis, Oblina and Krumm  attends an institute for monsters under a city dump and learn to frighten humans.",,"Animation, Comedy, Family, Sci-Fi & Fantasy",Nickelodeon,"monster, school",0
Zankyou No Terror,/title/tt3613454/,(2014),"Tokyo has been decimated by a terrorist attack, the only clue to the culprit's identity is a bizarre internet video. Two mysterious children form Sphinx, a clandestine entity determined to pull the trigger on this world.",TV-14,"Animation, Crime, Drama",7.8,12000,"https://m.media-amazon.com/images/M/MV5BNjdhYzY0M2QtODgwZi00NDg2LTliNDQtMzA4ZTMzMzQ0MGEyXkEyXkFqcGdeQXVyMTA3OTEyODI1._V1_UY98_CR1,0,67,98_AL_.jpg",61421.0,Terror in Resonance,残響のテロル,ja,['JP'],15.815,7.96,313.0,2014-07-11,False,/ApYLnqh1ktZsVRMxyV3SY6sLj59.jpg,"In an alternate version of the present, Tokyo has been decimated by a shocking terrorist attack, and the only hint to the identity of the culprit is a bizarre video uploaded to the internet. The police, baffled by this cryptic clue, are powerless to stop the paranoia spreading across the population. While the world searches for a criminal mastermind to blame for this tragedy, two mysterious children - children who shouldn't even exist - masterfully carry out their heinous plan. Cursed to walk through this world with the names Nine and Twelve, the two combine to form ""Sphinx,"" a clandestine entity determine to wake the people from their slumber - and pull the trigger on this world.",,"Animation, Drama, Mystery",Fuji TV,"high school, police, detective, tragedy, conspiracy, terrorism, anime",1
"Harvey Birdman, Attorney at Law",/title/tt0294097/,(2000–2007),Third-rate superhero Harvey Birdman gets a new lease on life when he becomes a lawyer.,TV-MA,"Animation, Comedy, Sci-Fi",8.0,11815,"https://m.media-amazon.com/images/M/MV5BZDZhNWFmODgtNzBmOC00YTUwLTk1MmItNDJhMDA5YjkzNzlmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",416.0,"Harvey Birdman, Attorney at Law","Harvey Birdman, Attorney at Law",en,['US'],13.724,8.124,93.0,2000-12-30,False,/125BwUGkQ4mzizKeUIFv74OzMEZ.jpg,"Harvey Birdman, Attorney at Law features ex-superhero Harvey T. Birdman of Birdman and the Galaxy Trio as an attorney working for a law firm alongside other cartoon stars from 1960s and 1970s Hanna-Barbera cartoon series. Similarly, Harvey's clients are also primarily composed of characters taken from Hanna-Barbera cartoon series of the same era. Many of Birdman's nemeses featured in his former cartoon series also became attorneys, often representing the opposing side of a given case.","Harvey Birdman, Attorney At Law","Sci-Fi & Fantasy, Animation, Comedy, Action & Adventure, Crime",,"superhero, law firm",0
Clannad: After Story,/title/tt1298820/,(2008–2009),A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                See full summary »,TV-MA,"Animation, Comedy, Drama",8.6,11677,"https://m.media-amazon.com/images/M/MV5BNzJmNDMzMjYtN2FmZC00NTBkLWE1YmEtNWNiYzI0YzE5MTQ0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",219298.0,Clannad: After Story,クラナド アフターストーリー,ja,['JP'],2.604,10.0,1.0,2008-10-02,False,/f0mHRsh8EQZfz3hNI5s0uzep5FG.jpg,A sequel to the popular Clannad 2007 anime. It shows the viewer the original visual novel after all the other paths have already been opened,,"Animation, Comedy, Drama",,"slice of life, tragedy, anime",1
Horimiya,/title/tt13103134/,(I) (2021),Two very different people - an academically successful schoolgirl and a quiet loser schoolboy - meet and develop a friendship.,TV-14,"Animation, Comedy, Drama",8.1,11019,"https://m.media-amazon.com/images/M/MV5BZWNiY2IwMGUtYTk1NC00NmE5LWE4NTItYmQyNDJmMGU2MDMwXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UY98_CR1,0,67,98_AL_.jpg",110070.0,Horimiya,ホリミヤ,ja,['JP'],57.25,8.585,732.0,2021-01-10,False,/917VL7zHTaltnEBDrKWVITTsvLy.jpg,"A secret life is the one thing they have in common. At school, Hori is a prim and perfect social butterfly, but the truth is she's a brash homebody. Meanwhile, under a gloomy facade, Miyamura hides a gentle heart, along with piercings and tattoos. In a chance meeting, they both reveal a side they've never shown. Could this blossom into something new?",,"Animation, Comedy, Drama","Tokyo MX, BS11","secret identity, romantic comedy, romance, love, slice of life, based on manga, school life, shounen, anime",1
Food Wars,/title/tt4731072/,(2015–2020),Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.,TV-14,"Animation, Comedy, Drama",8.1,10965,"https://m.media-amazon.com/images/M/MV5BODJhZDFjMTItZTZjZC00MGM0LWFlM2UtZTE2MTU4YjE0MzMxXkEyXkFqcGdeQXVyNTIxNDgzOTg@._V1_UY98_CR1,0,67,98_AL_.jpg",62273.0,Food Wars! Shokugeki no Soma,食戟のソーマ,ja,['JP'],37.159,8.568,646.0,2015-04-04,False,/drteIrKPh0qaTYitGkxAOKoidsR.jpg,"Yukihira Souma's dream is to become a full-time chef in his father's restaurant and surpass his father's culinary skill. But just as Yukihira graduates from middle schools his father, Yukihira Jouichirou, closes down the restaurant to travel and cook around the world. Although downtrodden, Souma's fighting spirit is rekindled by a challenge from Jouichirou which is to survive in an elite culinary school where only 10% of the students graduate. Can Souma survive?",,"Animation, Comedy, Drama","TBS, Tokyo MX, BS11","cooking, rivalry, based on manga, school life, ecchi, shounen, anime, cooking competition",1
Beastars,/title/tt11043632/,(2019– ),"In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.",TV-MA,"Animation, Crime, Drama",7.7,10954,"https://m.media-amazon.com/images/M/MV5BNTc4MmE4MGYtNWIwNC00MjdkLTkxMDYtZjkyZTgzNTRkMmIxXkEyXkFqcGdeQXVyODEyMDIxNDY@._V1_UY98_CR1,0,67,98_AL_.jpg",90937.0,BEASTARS,ビースターズ,ja,['JP'],40.168,8.587,1001.0,2019-10-10,False,/zKEFedE4KEUWdfPvjVC9G1VyEoK.jpg,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.",,"Animation, Drama, Mystery",Fuji TV,"black market, romance, anthropomorphism, slice of life, survival, school, based on manga, shounen, anime, drama club",1
Kakegurui,/title/tt7131720/,(2017–2019),A gambling prodigy comes to an elite school run by games and turns the order upside down.,TV-14,"Animation, Drama, Mystery",7.2,10932,"https://m.media-amazon.com/images/M/MV5BMmRhZDI4ODItYTAzMC00NWQ1LTk1MTctZWYyMDY3ZTU3NWFiXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UX67_CR0,0,67,98_AL_.jpg",72305.0,Kakegurui,賭ケグルイ,ja,['JP'],42.474,8.255,1383.0,2017-07-01,False,/94c4KfA5BHrqLODwvSvTaRtOm36.jpg,"Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like!",,"Animation, Drama, Mystery","MBS, Tokyo MX","gambling, gambling debt, based on manga, anime",1
Smiling Friends,/title/tt12074628/,(2020– ),Follows employees of a small company dedicated to bringing happiness to a bizarre yet colorful world.,TV-MA,"Animation, Short, Comedy",8.5,10812,"https://m.media-amazon.com/images/M/MV5BZjZlNzdjMDUtMzFlNC00ZTYxLTg4YzUtYTRjNTNkMjMxODYxXkEyXkFqcGdeQXVyMTM0MTUzNjA2._V1_UX67_CR0,0,67,98_AL_.jpg",126506.0,Smiling Friends,Smiling Friends,en,['US'],17.054,8.033,60.0,2020-04-01,False,/xAJIdD5u9lo1RezhfcSq6s1jH2A.jpg,"Smiling Friends Inc. is a small company whose main purpose is to bring happiness and make people smile. The series follows the day-to-day lives and misadventures of its representatives, the lazy, cynical Charlie, and the cheerful, optimistic Pim, as they try to cheer up and comfort the troubled people who call their company's hotline. They receive seemingly simple requests but the jobs turn out to be more complicated than they seem, making it difficult to bring happiness to the world.",,"Animation, Comedy",Adult Swim,"adult animation, absurdism",0
Ouran High School Host Club,/title/tt0816397/,(2006),"A girl at a prestigious school befriends the members of a ""host club"".",TV-14,"Animation, Comedy, Romance",8.2,10727,"https://m.media-amazon.com/images/M/MV5BNzAwZDlmMjctMzkwMC00Y2U3LTlmOGUtNGY2MTc5MzFhZjk0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX67_CR0,0,67,98_AL_.jpg",1043.0,Ouran High School Host Club,桜蘭高校ホスト部,ja,['JP'],21.314,8.3,181.0,2006-04-05,False,/30N2QvPvT0F4tTQk1A6qguL63yd.jpg,"Ouran High is a school for the extremely wealthy or, in Haruhi's case, the extremely talented. But no amount of talent will help when Haruhi accidentally drops an eight million yen vase in a music room. The vase was the property of Ouran High School Host Club, a group of attractive young men who, for a fee, provide their time and affections for their lovesick clientele: the female students. Fascinated by this strange new specimen, a poor and clumsy commoner, they force Haruhi to work for them until the debt is repaid; but they get a lot more than they bargained for...",,"Animation, Comedy, Drama",Nippon TV,"debt, based on manga, anime, bishounen",1
Snagglepuss,/title/tt0255768/,(1961–1988),"Yogi, a smooth, talkative forest bear looks to raid park goers' picnic baskets, while Park Ranger Smith tries to stop him.",TV-G,"Animation, Short, Comedy",6.6,10681,"https://m.media-amazon.com/images/M/MV5BNWUyMTJkOGItMjc2MC00Y2QxLWI2YmQtMmM3NGRlN2JiZWM2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY98_CR1,0,67,98_AL_.jpg",30773.0,The Yogi Bear Show,The Yogi Bear Show,en,['US'],24.2,7.073,172.0,1961-01-30,False,/alDnwQ75JZu3V3aoa4F5w7LoyL7.jpg,"From his home in Jellystone Park, Yogi Bear dreams of nothing more in life than to outwit as many unsuspecting tourists as he can and grab their prized picnic baskets all while staying one step ahead of the ever-exasperated Ranger Smith. Yogi's little buddy, Boo-Boo, tries to keep Yogi out of trouble but rarely succeeds. That's okay because not even Ranger Smith can stay mad for long at the lovable, irresistible Yogi Bear.",He's smarter than the average bear!,"Animation, Comedy",Syndication,,0
Home Movies,/title/tt0197159/,(1999–2004),"Brendon Small, an ambitious eight-year-old filmmaker, shoots movies in his basement with his two best friends, while coming to terms with adolescence, life, and relationships.",TV-14,"Animation, Comedy, Drama",8.2,10606,"https://m.media-amazon.com/images/M/MV5BZWViOTRmMGUtYWY3ZS00ZTY0LWE1YjktOGY3NDhhNmIyOTk5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR3,0,67,98_AL_.jpg",2274.0,Home Movies,Home Movies,en,['US'],8.026,7.188,72.0,1999-04-26,False,/m3yC4oIdb6vMxgoghXGPbGQNxu7.jpg,"TV series about the life of Brendon Small, an eight-year-old visionary who, using his friends Jason and Melissa as actors, have managed to direct over a thousand homemade films. His parents are divorced, but it doesn't feel strange since so many other kids' parents are divorced. His friend Jason actually feels upset because his parents are still together. At school, he is taught soccer by his coach John McGuirk, or as he calls him, ""that weird Irish guy"".",,"Animation, Comedy, Drama","UPN, Adult Swim",coming of age,0
Ugly Americans,/title/tt1621748/,(2010–2012),"Take New York City, add every horrifying beast, science-fiction freak, and fantasy faerie, shake thoroughly, and you've got Ugly Americans.",TV-MA,"Animation, Comedy, Fantasy",8.0,10582,"https://m.media-amazon.com/images/M/MV5BYmY5YjUwNDEtMDQ4Ni00OTMwLWFlOWMtMWE5Y2U4MjVjM2UwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",32351.0,Ugly Americans,Ugly Americans,en,['US'],25.096,8.216,558.0,2010-03-17,False,/lGwH9KWYhU16ZYyNX7mz30M0J1U.jpg,"Social worker Mark Lilly helps new citizensboth human and ""other""begin the process of adapting to life in the Big Apple, but his coworkers, demonic bureaucrat Twayne, drunken wizard Leonard Powers, surly law enforcement head Frank Grimes & his girlfriend, Callie, don't make it easy.",,"Animation, Comedy",Comedy Central,,0
Puella Magi Madoka Magica,/title/tt1773185/,(2011),"A creature named Kyubey offers Madoka and Sayaka a wish if they agree to become 'magical girls' and fight abstract beings called 'witches'. However, a magical girl named Homura is, for uncertain reasons, determined to stop this agreement.",TV-14,"Animation, Drama, Fantasy",8.2,10285,"https://m.media-amazon.com/images/M/MV5BZGYyZDlhY2YtMmYwNC00YjM3LWEwZDEtMTRhOWI5NDViM2NlXkEyXkFqcGdeQXVyMjk0NTE0NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",39218.0,Puella Magi Madoka Magica,魔法少女まどか☆マギカ,ja,['JP'],15.724,8.2,254.0,2011-01-07,False,/1Mz2HZ2vHwi5Oo9rciDqcVhMmhz.jpg,"She has a loving family and best friends, laughs and cries from time to time... Madoka Kaname, an eighth grader of Mitakihara middle school, is one of those who lives such a life. One day, she had a very magical encounter. She doesn't know if it happened by chance or by fate yet. This is a fateful encounter that can change her destiny. This is a beginning of the new story of the magical witch girls.",,"Animation, Drama, Sci-Fi & Fantasy",MBS,"witch, magic, wish, surrealism, teenage girl, schoolgirl, schoolmates, dark fantasy, subversive, transfer student, foreshadowing, anime, magical girl",1
