imdb_href,tmdb_id,tmdb_name,original_name,original_language,origin_country,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,first_air_date,tmdb_adult_content,tmdb_poster_path,tmdb_overview,tmdb_tagline,tmdb_genres,tv_networks,tmdb_keywords
/title/tt3581920/,100088.0,The Last of Us,The Last of Us,en,['US'],983.712,8.755,3215.0,2023-01-15,False,/uKvVjHNqB5VmOrdxqAt2F7J78ED.jpg,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.","When you're lost in the darkness, look for the light.",Drama,HBO,"people smuggling, post-apocalyptic future, infection, survival, epidemic, based on video game, horror"
/title/tt3107288/,60735.0,The Flash,The Flash,en,['US'],568.478,7.799,10350.0,2014-10-07,False,/rg8N7x27Ef6PvlIiioLStf9ZaIO.jpg,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",The final run.,"Drama, Sci-Fi & Fantasy",The CW,"superhero, speed, based on comic, super power, masked superhero, supervillain"
/title/tt9140560/,85271.0,WandaVision,WandaVision,en,['US'],70.178,8.284,10976.0,2021-01-15,False,/frobUz2X5Pc8OiVZU8Oo5K3NKMM.jpg,Wanda Maximoff and Visiontwo super-powered beings living idealized suburban livesbegin to suspect that everything is not as it seems.,Experience a new vision of reality.,"Sci-Fi & Fantasy, Mystery, Drama",Disney+,"superhero, supernatural, based on comic, suburbia, miniseries, superhero team, marvel cinematic universe (mcu)"
/title/tt9140554/,84958.0,Loki,Loki,en,['US'],108.535,8.17,9793.0,2021-06-09,False,/kEl2t3OhXc3Zb9FBh1AuYzRTgZp.jpg,"After stealing the Tesseract during the events of Avengers: Endgame, an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a time variant or help fix the timeline and stop a greater threat.",Loki's time has come.,"Drama, Sci-Fi & Fantasy",Disney+,"superhero, secret organization, based on comic, spin off, marvel cinematic universe (mcu), alternate timeline, multiverse, antihero"
/title/tt0417299/,246.0,Avatar: The Last Airbender,Avatar: The Last Airbender,en,['US'],52.178,8.688,3232.0,2005-02-21,False,/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Water. Earth. Fire. Air.,"Animation, Action & Adventure, Sci-Fi & Fantasy","Nickelodeon, Netflix","friendship, martial arts, saving the world, magic, monk, asia, child hero, reincarnation, honor, destiny"
/title/tt7631058/,84773.0,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,en,['US'],233.494,7.5,1985.0,2022-09-01,False,/mYLOqiStMxDK3fYZFirgrMt8z5d.jpg,"Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Nmenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.",Journey to Middle-earth.,"Action & Adventure, Sci-Fi & Fantasy, Drama",Amazon,"based on novel or book, based on movie, high fantasy, sword and sorcery"
/title/tt11198330/,94997.0,House of the Dragon,House of the Dragon,en,['US'],307.119,8.48,3074.0,2022-08-21,False,/1X4h40fcB4WWUmIBK0auT4zRBAV.jpg,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",Fire and blood.,"Sci-Fi & Fantasy, Drama, Action & Adventure",HBO,"based on novel or book, giant monster, knight, dragon, king, fantasy world"
/title/tt1312171/,75006.0,The Umbrella Academy,The Umbrella Academy,en,['US'],81.134,8.623,8674.0,2019-02-15,False,/qhcwrnnCnN8NE1N6XXKHFmveJR9.jpg,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",Too many siblings. Not enough timeline.,"Action & Adventure, Sci-Fi & Fantasy, Drama",Netflix,"superhero, time travel, dysfunctional family, based on comic, alternate history, apocalypse, universe, super power, end of world, siblings, children"
/title/tt1442449/,46296.0,Spartacus,Spartacus,en,['US'],152.429,7.983,2017.0,2010-01-22,False,/kAUI0oOWZbGAQMmv7WM6scvoE34.jpg,"Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment.",,Drama,Starz,"gladiator, arena, ancient rome, slave, peplum"
/title/tt5675620/,67178.0,Marvel's The Punisher,Marvel's The Punisher,en,['US'],82.715,8.109,2056.0,2017-11-17,False,/tM6xqRKXoloH9UchaJEyyRE9O1w.jpg,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,The truth must be taken.,"Action & Adventure, Crime, Drama",Netflix,"gun, anti hero, based on comic, vigilante, justice, marvel cinematic universe (mcu)"
