name,href,lda_topic0_match_pct,lda_topic1_match_pct,lda_topic2_match_pct,lda_topic3_match_pct,lda_topic4_match_pct,lsa_topic0_cos_match,lsa_topic1_cos_match,lsa_topic2_cos_match,lsa_topic3_cos_match,lsa_topic4_cos_match,lsa_topic5_cos_match,lsa_topic6_cos_match,lsa_topic7_cos_match,lsa_topic8_cos_match,lsa_topic9_cos_match
Game of Thrones,/title/tt0944947/,0.008706182938623637,0.008706185230718158,0.008706181693237058,0.9651577737377007,0.008723676399720428,0.2782304616599672,-0.06487601346226031,-0.019929007669435103,-0.03311978610213171,0.1021032264036052,0.11065232106817748,-0.04124937609772669,0.04744527276074588,-0.012352196633248274,0.003898384265498031
Prison Break,/title/tt0455275/,0.011398493804676892,0.011398497664268174,0.011398492128537155,0.9543731592184252,0.011431357184092576,0.2441521497497412,0.043853091187920676,-0.02606746748799312,-0.014274052208205431,-0.02780251688475778,0.07968039081300717,-0.06243522687650069,0.02276005772083367,-0.006538105071948762,-0.006265072202074494
Vikings,/title/tt2306299/,0.013696141706210934,0.01369614551286496,0.013696139068915638,0.9452152742758133,0.01369629943619512,0.21073532306450465,-0.0862638734068778,-0.09193083740041713,0.011678951144853799,0.039582343530750616,0.14868275242750223,-0.05970121312366482,0.053662282734746325,-0.10058740004934608,-0.029158914139364146
The Boys,/title/tt1190634/,0.009460169553241268,0.00946016696556162,0.009460165993211108,0.9621595702865585,0.009459927201427498,0.33984185491221897,0.028791748798560328,0.029320051139234374,0.00868736742857899,-0.06496725741796465,0.044249697857226634,-0.11869924313916486,-0.02838318216766344,-0.021394244836049323,-0.02933587845100559
The Mandalorian,/title/tt8111088/,0.015673010694336083,0.015673016395037168,0.01567300736809545,0.9372737251972839,0.015707240345247415,0.14652428470979686,-0.056293464663535256,-0.04339389413706625,-0.013034797989987251,0.05930686988990097,0.0731264353541495,-0.03705110928071474,0.017907164019252814,-0.0357160372210562,-0.029752572990977316
The Witcher,/title/tt5180504/,0.008385834169996309,0.008385836802792458,0.008385833254141967,0.9664571887970705,0.00838530697599869,0.32122849299007955,-0.09910814767669117,-0.09181222022372604,-0.042470155405396816,0.0945936594153931,0.16737683810984155,-0.07815919954603073,0.06016041543006875,-0.09316897055780757,-0.08806259791386126
Money Heist,/title/tt6468322/,0.01008888249075594,0.010088886205085959,0.01008888107335683,0.9596118108564099,0.010121539374391222,0.20093152808980103,0.03845049504901507,-0.021013904881323764,0.011718746431290434,-0.009079328562319699,0.057489059577080386,-0.024285203527385234,0.015196258971905212,0.0002174769673631587,-0.009134408817361075
Squid Game,/title/tt10919420/,0.013467448083406745,0.013467451642704246,0.013467444887108413,0.9460612047520731,0.013536450634707502,0.16143167825695698,-0.016453007963903026,-0.0017688812368899618,-0.024768521910058017,0.023169770540929002,0.014773578116655039,0.02855619011982977,0.03137024093825991,-0.013252135468374,0.03470589077346738
Daredevil,/title/tt3322312/,0.01324435497281131,0.013244359607155368,0.013244352774547446,0.9470136114499816,0.013253321195504294,0.1997865110677332,0.03268166945591947,-0.04392643659499208,0.0028687213717379094,-0.017317149416855707,0.0671969331257302,-0.06361509222514797,0.022200787376895705,-0.03708960266501135,-0.0261690283522144
Arrow,/title/tt2193021/,0.012344606461498596,0.012344610475246995,0.01234460881116784,0.9506094945917242,0.012356679660362404,0.20083560237102166,-0.0031305121006223635,-0.04931745094330434,-0.011342477349998761,-0.0026107065431989797,0.08125964287162782,-0.06134289785188578,0.02994133572657928,-0.050568100196202594,-0.022114103959837945
Attack on Titan,/title/tt2560140/,0.01515478431064608,0.015154790162644117,0.01515478746588946,0.8300729433074366,0.12446269475338374,0.2641518469795082,-0.242515412692923,-0.23506469784269363,0.033799462427748124,-0.03878890178692884,-0.11493328995082172,0.128047411980433,0.043149562261917386,0.10698054257594723,0.02991031880541445
The Last of Us,/title/tt3581920/,0.008746278577284432,0.008746281940456992,0.008746276961935449,0.9650129330566075,0.00874822946371561,0.26767999593070263,-0.0808956972844037,-0.03898878315149332,-0.019835242264526674,0.043003202035710786,0.12714085613750062,-0.04477691475169992,0.031127050879751306,-0.04686279643824377,0.02528981062830061
