Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
mysticism,0.2,anime,57.1,comedy,180.3,mysticism,0.2,genetics,1.5
furry,0.2,manga,33.9,crime,134.5,furry,0.2,cuisine,1.1
dusk,0.2,animation,28.5,romance,96.4,dusk,0.2,culinary,1.0
standoff,0.2,action,24.7,animation,91.9,standoff,0.2,zeitgeist,0.7
valhalla,0.2,adventure,20.9,adventure,84.4,valhalla,0.2,dining,0.6
hideout,0.2,space,18.0,mystery,83.8,hideout,0.2,cooking,0.3
brutus,0.2,shounen,16.9,action,79.8,brutus,0.2,chef,0.2
vigilantism,0.2,superhero,14.2,fantasy,67.8,vigilantism,0.2,flux,0.2
mushroom,0.2,apocalyptic,12.9,thriller,60.9,mushroom,0.2,fine,0.2
tulsa,0.2,seinen,10.2,novel,59.3,tulsa,0.2,regenerative,0.2
lowenthal,0.2,marvel,10.1,documentary,54.4,lowenthal,0.2,favreau,0.2
mage,0.2,dystopia,9.7,horror,53.9,mage,0.2,paloma,0.2
tennyson,0.2,japanese,9.3,sitcom,49.0,tennyson,0.2,synthetic,0.2
titans,0.2,mcu,8.6,book,47.5,titans,0.2,tutelage,0.2
allied,0.2,super,8.4,miniseries,45.2,allied,0.2,declared,0.2
helpless,0.2,alien,8.3,sci,43.1,helpless,0.2,screams,0.2
ghul,0.2,martial,8.2,murder,42.7,ghul,0.2,oakes,0.2
espionage,0.2,gore,7.8,detective,41.7,espionage,0.2,somethings,0.2
interstellar,0.2,sword,7.6,biography,41.3,interstellar,0.2,vengeance,0.2
teleportation,0.2,japan,7.5,investigation,40.5,teleportation,0.2,pastry,0.2
ona,0.2,tragedy,6.8,school,40.1,ona,0.2,rushed,0.2
cyborg,0.2,cyberpunk,6.6,police,39.9,cyborg,0.2,arts,0.2
startup,0.2,dragon,6.5,history,34.1,startup,0.2,redefine,0.2
arctic,0.2,slice,6.5,supernatural,31.0,arctic,0.2,ricci,0.2
continents,0.2,mythology,6.3,england,30.7,continents,0.2,counts,0.2
horde,0.2,planet,6.3,friendship,29.2,horde,0.2,random,0.2
maki,0.2,future,6.0,relationship,28.9,maki,0.2,heaton,0.2
darkwing,0.2,magic,5.8,war,27.2,darkwing,0.2,promoted,0.2
opium,0.2,invasion,5.5,reality,27.2,opium,0.2,precocious,0.2
claudius,0.2,universe,5.4,adult,26.8,claudius,0.2,genetic,0.2
