Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
hostages,1.0,netflix,43.4,mvm,0.2,maniac,1.1,manga,28.4
carlisle,0.2,seasons,37.1,yume,0.2,euphoria,1.1,anime,17.3
georgian,0.2,comedy,35.5,nippon,0.2,clap,0.2,shonen,6.9
octane,0.2,school,30.4,toriyama,0.2,whatsoever,0.2,kim,6.5
assassinate,0.2,bbc,29.9,kikuchi,0.2,leftover,0.2,jung,6.3
tactical,0.2,anime,29.3,miura,0.2,manic,0.2,soo,6.1
seize,0.2,crime,28.8,ryu,0.2,cells,0.2,jin,5.7
hostage,0.2,game,28.7,yuka,0.2,salmon,0.2,hee,5.2
thrust,0.2,pilot,28.4,australasia,0.2,ascent,0.2,min,5.2
sanders,0.2,novel,27.9,uchiyama,0.2,caravan,0.2,korean,5.0
captive,0.2,voiced,27.8,shounen,0.2,athletes,0.2,funimation,4.9
shooter,0.2,team,27.3,beveridge,0.2,deficit,0.2,yoon,4.9
chill,0.2,man,26.3,otaku,0.2,battery,0.2,hyun,4.8
rogue,0.2,detective,25.6,kayano,0.2,hysterical,0.2,crunchyroll,4.7
surgeon,0.2,john,25.6,nomura,0.2,beetle,0.2,eun,4.4
israeli,0.2,guest,25.5,tomokazu,0.2,pornography,0.2,joon,4.4
suspense,0.2,animation,25.1,atsushi,0.2,pharmaceutical,0.2,kodansha,4.3
blackmail,0.2,police,25.1,kotaro,0.2,handheld,0.2,seo,4.1
painting,0.2,book,24.8,nakagawa,0.2,complication,0.2,ova,4.1
compel,0.2,million,24.7,kenichi,0.2,compilations,0.2,choi,4.0
disambiguation,0.2,music,24.4,geneon,0.2,schizophrenia,0.2,yoo,4.0
reasons,0.2,murder,23.9,namco,0.2,wrestler,0.2,jae,4.0
federal,0.2,channel,23.8,akatsuki,0.2,disorders,0.2,tokyo,3.9
assassination,0.2,video,23.7,aoi,0.2,rehabilitation,0.2,tankobon,3.8
desperate,0.2,michael,23.7,megumi,0.2,assured,0.2,circulation,3.8
duncan,0.2,city,23.3,saikyo,0.2,comparable,0.2,woo,3.8
operate,0.2,dvd,23.3,kyoto,0.2,exploitation,0.2,japanese,3.7
mvm,0.2,abc,23.1,takuya,0.2,sven,0.2,tae,3.5
yume,0.2,david,22.8,ichiro,0.2,solved,0.2,yeon,3.4
nippon,0.2,war,22.7,ushio,0.2,usher,0.2,shueisha,3.4
