Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
maniac,1.1,anime,46.4,hui,0.2,kim,6.8,hostages,1.0
clap,0.2,netflix,43.4,seol,0.2,jung,6.4,carlisle,0.2
whatsoever,0.2,seasons,37.1,maniac,0.2,soo,6.1,georgian,0.2
manic,0.2,comedy,35.5,shim,0.2,hee,5.3,octane,0.2
cells,0.2,manga,35.2,hak,0.2,min,5.2,assassinate,0.2
ascent,0.2,school,30.4,chae,0.2,jin,5.1,tactical,0.2
caravan,0.2,bbc,29.9,hostages,0.2,korean,5.1,seize,0.2
battery,0.2,crime,28.8,euphoria,0.2,yoon,5.0,hostage,0.2
hysterical,0.2,game,28.7,fifa,0.2,hyun,4.8,thrust,0.2
pharmaceutical,0.2,pilot,28.4,utilized,0.2,joon,4.4,sanders,0.2
handheld,0.2,novel,27.9,thrice,0.2,eun,4.4,captive,0.2
complication,0.2,voiced,27.8,eui,0.2,choi,4.3,shooter,0.2
schizophrenia,0.2,team,27.3,tuxedo,0.2,seo,4.1,chill,0.2
disorders,0.2,man,26.3,hyung,0.2,yoo,4.0,rogue,0.2
assured,0.2,detective,25.6,municipality,0.2,jae,3.9,surgeon,0.2
exploitation,0.2,john,25.6,interspecies,0.2,woo,3.8,israeli,0.2
sven,0.2,japanese,25.5,solver,0.2,tae,3.5,suspense,0.2
solved,0.2,guest,25.5,aborted,0.2,yeon,3.4,blackmail,0.2
surrealism,0.2,animation,25.1,bratty,0.2,joo,3.3,painting,0.2
maryland,0.2,police,25.1,clap,0.2,kang,3.1,compel,0.2
mania,0.2,book,24.8,yoo,0.2,kyung,3.1,disambiguation,0.2
indoor,0.2,million,24.7,utility,0.2,lee,3.0,reasons,0.2
ransom,0.2,music,24.4,nam,0.2,sang,2.9,federal,0.2
wrestler,0.2,murder,23.9,tutelage,0.2,dong,2.7,assassination,0.2
usage,0.2,channel,23.8,hee,0.2,jang,2.6,desperate,0.2
reckless,0.2,video,23.7,refute,0.2,sung,2.5,duncan,0.2
ideal,0.2,michael,23.7,judicial,0.2,cha,2.5,operate,0.2
merrill,0.2,city,23.3,impactful,0.2,hye,2.5,wrong,0.2
norwegian,0.2,dvd,23.3,webtoon,0.2,jeong,2.3,hui,0.2
assure,0.2,abc,23.1,tae,0.2,seung,2.2,ellen,0.2
