Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
bbc,23.1,liars,1.7,bewitched,0.6,grimm,1.0,cosmos,2.7,bugs,1.8,stargate,1.4,hostages,1.0,john,11.6,lindy,0.9,ramsay,2.3,kim,7.9,detective,14.1,maniac,1.0,glitch,1.9,sonic,2.4,anime,46.2,dune,1.6,kei,1.1,dickinson,0.9
nbc,16.2,kidman,1.2,rim,0.6,dora,0.8,braga,0.9,bunny,0.9,bosch,1.4,rouge,0.8,murder,11.3,picard,0.8,nightmares,1.6,jung,6.2,vampire,12.0,piccolo,0.9,xena,1.0,tennyson,1.7,netflix,35.4,lynskey,1.2,pharmacist,0.7,gymnastics,0.5
team,16.1,noth,1.1,mei,0.1,eddy,0.8,jeopardy,0.8,afro,0.8,tipton,1.3,baton,0.6,killer,10.3,noitamina,0.8,kitchen,1.4,soo,5.9,police,11.8,pistols,0.6,fifa,0.6,roddenberry,1.3,manga,35.0,rust,1.0,recess,0.7,lauria,0.1
cartoon,15.9,ewing,1.1,kidman,0.1,monkeys,0.7,matthias,0.7,sas,0.7,jedi,1.3,diabolical,0.6,recurring,10.3,roddenberry,0.1,oslo,1.2,korean,5.5,crime,10.7,toriyama,0.5,cup,0.5,wwe,1.2,school,29.3,callaghan,1.0,sonny,0.6,disapproves,0.1
dvd,14.3,chappelle,0.8,nam,0.1,ferb,0.6,spacetime,0.5,daffy,0.7,syrian,1.0,bumpy,0.5,crime,10.2,disagreed,0.1,pandey,1.2,jin,5.2,anne,10.6,thelma,0.5,madrid,0.1,pokemon,0.8,novel,23.6,euphoria,1.0,lovato,0.5,molest,0.1
london,13.3,transparent,0.6,convene,0.1,eds,0.3,brannon,0.4,sharks,0.6,reich,1.0,onofrio,0.1,renew,10.1,slower,0.1,mei,1.2,min,5.1,case,10.2,malachi,0.4,massively,0.1,sesame,0.8,japanese,23.3,eureka,1.0,mothership,0.1,delights,0.1
version,13.2,sneaky,0.6,porch,0.1,phineas,0.2,katya,0.1,famed,0.2,trainor,0.8,hee,0.1,recur,10.0,handled,0.1,bain,1.1,hee,5.1,war,8.7,balls,0.3,bulgarian,0.1,flames,0.6,comedy,22.9,terrace,0.8,castmates,0.1,constraint,0.1
british,12.6,cellmate,0.3,jae,0.1,aimed,0.1,heinrich,0.1,circumstance,0.2,obi,0.8,octane,0.1,emily,9.8,crafty,0.1,iglesias,1.1,yoon,4.8,inspector,8.6,slump,0.1,astronomy,0.1,picard,0.3,seasons,22.8,zac,0.7,intentioned,0.1,bowles,0.1
cbs,12.4,mothership,0.1,gigantic,0.1,adversaries,0.1,hawking,0.1,looney,0.1,darth,0.6,carlisle,0.1,seasons,9.6,mcfadden,0.1,madrid,1.0,hyun,4.6,france,8.5,schizophrenia,0.1,dilemmas,0.1,braga,0.1,volume,19.7,riches,0.4,rampant,0.1,structured,0.1
channel,12.3,yao,0.1,aesthetics,0.1,mis,0.1,policies,0.1,tunes,0.1,sith,0.6,captive,0.1,jessica,9.0,piccolo,0.1,ibrahim,1.0,lee,4.5,prince,8.1,clap,0.1,meta,0.1,brannon,0.1,animation,19.4,masters,0.4,extremes,0.1,spoke,0.1
alien,12.2,reunites,0.1,jaeger,0.1,miscellaneous,0.1,municipality,0.1,wile,0.1,hawkeye,0.5,georgian,0.1,tomatoes,9.0,nevins,0.1,kgb,0.9,choi,4.4,catherine,8.0,remade,0.1,ancestors,0.1,spock,0.1,music,18.8,gotham,0.3,prolific,0.1,yee,0.1
abc,12.2,dungey,0.1,emphasized,0.1,remedy,0.1,astronomy,0.1,melodies,0.1,heinrich,0.4,israeli,0.1,rotten,9.0,kei,0.1,dolores,0.9,joon,4.3,documentary,8.0,solved,0.1,enthusiastically,0.1,madrid,0.1,game,18.6,trucks,0.2,unreleased,0.1,culminates,0.1
