Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
comedy,12.0,sleight,0.1,boyhood,0.1,osbourne,0.1,geneticist,0.1,designation,0.1,skywalker,0.1,blackmail,0.1,james,8.9,monkeys,0.1,sheikh,0.9,eun,4.2,murder,7.9,whatsoever,0.1,invigorate,0.1,rouge,0.1,son,18.5,overhaul,0.2,rework,0.1,simons,0.1
nickelodeon,11.7,drafts,0.1,allegorical,0.1,gamecube,0.1,fuzzy,0.1,bark,0.1,stampede,0.1,shooter,0.1,josh,8.8,riker,0.1,rocko,0.9,seo,3.9,german,7.8,psychiatric,0.1,sac,0.1,voyager,0.1,relationship,18.4,profits,0.1,wrongdoing,0.1,minions,0.1
animated,11.1,deliciously,0.1,grit,0.1,bratty,0.1,theology,0.1,beneficial,0.1,sheikh,0.1,yao,0.1,metacritic,8.5,bookended,0.1,toledo,0.8,jae,3.7,rob,7.5,managed,0.1,bemoan,0.1,darth,0.1,fox,18.2,secrecy,0.1,resistant,0.1,budding,0.1
earth,11.1,lib,0.1,seedy,0.1,troublesome,0.1,astrophysicist,0.1,tuxedo,0.1,oslo,0.1,compel,0.1,kate,8.2,nicholls,0.1,jtbc,0.8,woo,3.7,itv,7.3,concealed,0.1,cemetery,0.1,viability,0.1,english,18.1,prop,0.1,individuality,0.1,allegra,0.1
programme,10.9,aborted,0.1,disapproves,0.1,stylistically,0.1,horizons,0.1,necessitate,0.1,axel,0.1,rogue,0.1,amazon,8.1,ripe,0.1,mothership,0.7,tae,3.3,jamie,7.3,forerunner,0.1,multiplayer,0.1,starter,0.1,brother,18.1,alia,0.1,regenerative,0.1,rye,0.1
voiced,10.4,escaping,0.1,requisite,0.1,haze,0.1,smear,0.1,incarnations,0.1,dolores,0.1,arose,0.1,casting,8.1,technicolor,0.1,dungey,0.6,yeon,3.3,contestant,7.2,cells,0.1,exploration,0.1,mena,0.1,million,18.0,iglesias,0.1,demi,0.1,huss,0.1
special,10.4,shouting,0.1,potion,0.1,kellogg,0.1,kgb,0.1,avant,0.1,rim,0.1,dominique,0.1,serial,8.0,evacuation,0.1,yao,0.5,joo,3.1,princess,7.0,manic,0.1,caught,0.1,admitted,0.1,city,18.0,members,0.1,dubs,0.1,authentically,0.1
horror,10.3,gravitas,0.1,diskin,0.1,fusionfall,0.1,urgency,0.1,metv,0.1,overpower,0.1,enforcers,0.1,christopher,8.0,assets,0.1,zaki,0.5,kang,3.1,witch,7.0,caravan,0.1,seo,0.1,tearfully,0.1,praise,17.7,leftover,0.1,detach,0.1,traveling,0.1
sitcom,10.1,ucla,0.1,chevrolet,0.1,lots,0.1,skepticism,0.1,reintroduce,0.1,packs,0.1,assassinate,0.1,johnson,8.0,anchored,0.1,ghosh,0.4,kyung,2.9,solve,6.9,aborted,0.1,impede,0.1,pollock,0.1,video,17.4,axel,0.1,decidedly,0.1,audacious,0.1
game,9.9,mart,0.1,uchida,0.1,protegee,0.1,odyssey,0.1,onstage,0.1,mart,0.1,reich,0.1,indicate,7.9,frakes,0.1,katya,0.4,sang,2.8,coach,6.9,remastering,0.1,cupid,0.1,variously,0.1,book,17.4,solver,0.1,governments,0.1,championships,0.1
pick,9.8,rowland,0.1,kensington,0.1,manifestation,0.1,doctrine,0.1,moth,0.1,rouge,0.1,seize,0.1,alex,7.9,schuster,0.1,ops,0.3,turtles,2.7,hospital,6.8,assured,0.1,inexplicably,0.1,agreements,0.1,voiced,17.3,tuning,0.1,munroe,0.1,darlene,0.1
history,9.8,reshoots,0.1,livestream,0.1,reformed,0.1,immoral,0.1,strings,0.1,rhythmic,0.1,tactical,0.1,consensus,7.8,intrigued,0.1,lauria,0.3,park,2.6,football,6.7,battery,0.1,rotation,0.1,sticks,0.1,kill,17.3,beetle,0.1,affiliation,0.1,suitor,0.1
henry,9.8,finesse,0.1,ackerman,0.1,stooges,0.1,receives,0.1,shouting,0.1,logos,0.1,thrust,0.1,miniseries,7.8,cristobal,0.1,rebekah,0.1,dong,2.6,sky,6.7,koyama,0.1,prophesy,0.1,procure,0.1,theme,16.9,salmon,0.1,bequeath,0.1,underway,0.1
region,9.6,visibility,0.1,hayashi,0.1,simplicity,0.1,users,0.1,gerry,0.1,paths,0.1,reasons,0.1,batman,7.8,abducted,0.1,arora,0.1,korea,2.6,east,6.6,trial,0.1,victories,0.1,versa,0.1,pilot,16.9,automobile,0.1,unflappable,0.1,poet,0.1
man,9.2,femininity,0.1,gladys,0.1,belongs,0.1,depicting,0.1,displayed,0.1,outpace,0.1,hostage,0.1,hbo,7.8,orla,0.1,trainor,0.1,sung,2.6,tommy,6.5,weaken,0.1,tin,0.1,augmented,0.1,song,16.7,insufficient,0.1,prankster,0.1,wiz,0.1
jimmy,9.2,applicant,0.1,piazza,0.1,sac,0.1,astronomer,0.1,despises,0.1,informally,0.1,liken,0.1,jones,7.7,horner,0.1,kapoor,0.1,jang,2.5,food,6.5,sports,0.1,rib,0.1,concealed,0.1,girl,16.7,residential,0.1,suave,0.1,slant,0.1
films,9.2,acknowledged,0.1,yuko,0.1,explosions,0.1,allegations,0.1,chickens,0.1,grimm,0.1,sanders,0.1,detective,7.6,una,0.1,leary,0.1,cha,2.3,doctor,6.4,narrowly,0.1,garfield,0.1,expiration,0.1,student,16.5,eclectic,0.1,idol,0.1,enrol,0.1
evil,9.2,terrace,0.1,cookbook,0.1,foam,0.1,affirm,0.1,enigma,0.1,marchand,0.1,assassination,0.1,weighted,7.6,resultant,0.1,rath,0.1,hye,2.3,robin,6.3,optional,0.1,dwindle,0.1,participates,0.1,adaptation,16.5,pornography,0.1,fillmore,0.1,springfield,0.1
