Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
media,2.9,thriller,19.3,animal,4.3,mental,2.9,small,7.6,procedural,7.7,base,12.2,world,8.9,adventurer,1.5,lesbian,3.4,wall,3.2,money,0.8,british,4.2,miami,4.4,empire,5.6,musical,1.9,new,1.8,power,5.7,star,3.2,date,2.7
professor,2.6,sitcom,17.1,board,4.3,building,2.6,sci,7.5,thriller,7.4,relationship,12.1,magic,8.6,family,1.5,relationship,3.4,class,3.0,operative,0.8,cyberpunk,4.2,distant,4.0,ancient,4.1,military,1.9,dating,1.8,tournament,5.6,audience,3.1,celebrity,2.7
science,2.5,york,16.8,reality,4.1,hometown,2.1,miss,7.4,base,7.2,private,11.2,hero,8.5,romance,1.4,high,3.3,sport,2.9,action,0.7,technology,4.1,time,3.9,extraterrestrial,3.7,navy,1.5,manhattan,1.5,gore,5.5,entrepreneur,2.9,comedy,2.1
plane,2.3,city,16.2,boston,4.1,nurse,2.1,action,7.1,new,6.8,crime,10.8,series,8.0,web,1.2,war,3.0,colorado,2.9,secret,0.7,mecha,4.0,spaceship,3.8,king,3.6,god,1.4,lose,1.0,parallel,5.4,television,2.9,business,1.9
mad,2.3,young,14.8,century,4.1,revolution,2.1,police,7.1,true,6.8,friendship,10.3,fairy,7.5,humor,1.1,romantic,3.0,widow,2.7,federal,0.7,rome,3.9,germany,3.6,mexico,3.4,loved,1.3,missing,1.0,anthropomorphism,5.3,origin,2.7,dating,1.8
attack,2.3,school,14.1,america,4.0,greed,2.0,noir,7.0,vigilante,6.4,dark,9.8,monster,7.4,sexual,1.1,england,3.0,psychic,2.7,witches,0.6,palace,3.8,colony,3.5,africa,3.1,loss,1.3,roll,1.0,warrior,5.0,hip,2.7,wealthy,1.7
sci,2.2,action,13.7,miniseries,3.9,underground,2.0,undercover,6.6,england,6.3,secret,9.4,super,7.2,superstar,0.9,south,2.9,break,2.6,heroic,0.6,virus,3.8,oil,3.3,arthur,2.7,brain,1.2,recover,0.9,fighting,5.0,host,2.7,compete,1.6
survival,1.9,sci,13.5,apocalypse,3.9,drug,1.8,corruption,6.6,law,6.0,london,9.4,marvel,7.2,professional,0.8,teen,2.9,worker,2.6,johnny,0.6,intelligence,3.7,sequel,3.2,adventure,2.6,escape,1.0,scientific,0.9,rivalry,4.8,interview,2.6,prize,1.5
robot,1.9,movie,13.3,restaurant,3.8,vice,1.8,canada,6.4,homicide,5.9,fantasy,9.2,mcu,6.9,health,0.8,bullying,2.9,house,2.3,ocean,0.5,artificial,3.3,moon,3.2,resistance,2.6,catholic,1.0,terrorist,0.8,tragedy,4.5,guest,2.6,travel,1.5
landing,1.9,adult,13.2,chef,3.8,documentary,1.7,abuse,6.2,book,5.9,book,9.1,cinematic,6.9,foster,0.8,travel,2.8,american,2.3,freedom,0.5,samurai,3.2,war,3.1,prophecy,2.5,angel,0.8,raw,0.8,world,4.2,new,2.6,survival,1.5
unsolved,1.9,love,12.7,survival,3.4,period,1.7,nordic,6.1,consultant,5.7,slice,8.9,villain,6.8,dominate,0.7,ages,2.8,western,2.3,arm,0.5,cartel,3.2,earth,2.8,military,2.5,robot,0.7,stand,0.7,supernatural,4.0,washington,2.6,knowledge,1.3
social,1.7,town,12.2,race,3.3,winter,1.6,child,6.0,forensic,5.7,england,8.9,sword,5.8,mentor,0.7,teenage,2.8,middle,2.1,cartel,0.5,invasion,3.1,galaxy,2.7,fantasy,2.5,cultural,0.7,plane,0.6,immortality,3.8,hop,2.5,oregon,1.1
priest,1.7,friendship,11.5,farm,3.0,cousin,1.6,detective,5.5,case,5.7,novel,8.8,evil,5.7,artist,0.7,woman,2.7,social,1.9,adventure,0.5,monarchy,2.9,mission,2.7,angel,2.5,awkward,0.7,hit,0.6,drastic,3.5,family,2.5,judge,1.1
government,1.7,super,11.3,car,2.9,neighbor,1.6,outlaw,5.5,novel,5.5,vampire,7.6,team,5.6,french,0.7,civil,2.7,thief,1.9,france,0.5,king,2.7,german,2.2,period,2.4,survival,0.7,study,0.6,gunfight,3.4,industry,2.4,italian,1.1
futuristic,1.6,female,11.2,firm,2.8,corporate,1.5,organize,5.2,courtroom,5.1,genius,7.2,power,5.5,trade,0.6,century,2.6,writer,1.8,disaster,0.5,society,2.6,transformation,2.2,action,2.4,music,0.7,bounty,0.5,game,3.3,president,2.4,win,1.0
team,1.6,paranormal,11.1,wilderness,2.7,health,1.4,dealer,5.1,action,4.8,investigator,7.1,spin,5.4,fiction,0.6,husband,2.6,training,1.7,plague,0.5,queen,2.6,station,2.1,rated,2.3,security,0.6,national,0.5,magic,3.3,politician,2.3,family,1.0
