Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
sport,21.4,fantasy,51.7,documentary,22.6,medical,9.4,crime,48.5,crime,57.3,comedy,52.7,animation,95.4,blend,4.6,romance,16.8,family,26.3,witch,9.8,post,15.8,space,33.5,biography,36.0,prequel,6.2,religion,6.2,anime,25.2,music,26.9,reality,30.8
sports,8.9,horror,49.8,gay,7.2,hospital,8.8,thriller,27.5,police,38.0,romance,32.4,adventure,78.9,afterlife,3.2,love,8.1,sitcom,13.6,spy,9.2,future,13.0,alien,32.0,history,28.4,san,5.9,dramedy,5.5,manga,18.7,talk,24.9,game,22.6
football,8.4,base,45.8,nature,6.8,doctor,7.5,mystery,26.6,detective,32.9,school,27.5,action,58.3,dance,2.8,fashion,7.0,relationships,9.6,cia,7.3,apocalyptic,12.6,sci,16.1,war,22.0,deed,4.9,musical,4.6,animation,16.6,comedy,17.2,competition,15.8
superhuman,6.6,comedy,44.5,food,6.6,addiction,5.9,conspiracy,13.9,investigation,32.9,california,21.7,comedy,39.6,sexuality,2.8,lgbt,6.5,comedy,9.5,espionage,5.5,robot,11.3,planet,11.9,miniseries,20.1,francisco,4.9,terrorism,4.1,shounen,15.3,politics,11.9,video,8.1
scientist,5.5,novel,36.3,zombie,6.6,history,5.5,murder,13.5,murder,27.8,sitcom,14.9,superhero,33.0,brooklyn,2.7,comedy,5.6,parody,8.6,medieval,4.4,period,8.6,travel,8.6,documentary,17.0,aspire,4.5,church,2.9,martial,13.5,night,9.0,fish,4.9
crash,5.3,romance,36.2,comedy,6.4,historical,4.4,documentary,12.0,mystery,25.9,anime,14.8,short,24.4,therapist,2.0,school,5.1,relationship,8.4,gun,3.7,costume,8.6,opera,8.3,historical,12.1,nerd,3.7,alcoholic,2.6,action,13.3,sketch,8.8,water,4.8
documentary,5.1,book,32.7,west,5.7,ship,4.2,drug,11.0,criminal,22.2,high,14.8,cartoon,20.0,christmas,1.8,affair,5.0,sibling,8.3,witchcraft,3.6,historical,8.0,adventure,7.6,true,11.6,rebellion,3.3,seattle,2.5,base,11.3,political,8.6,virtual,4.6
soccer,5.1,mystery,26.6,travel,5.2,trauma,4.2,miniseries,9.1,killer,14.5,los,14.5,comic,19.5,fake,1.8,sea,4.4,dysfunctional,7.4,agent,3.2,history,7.5,florida,7.3,base,9.2,computer,3.2,york,2.5,arts,11.2,late,8.6,treasure,3.7
dinosaur,4.9,family,24.7,wild,5.1,surgeon,4.0,prison,9.0,lawyer,12.0,angeles,14.5,adult,17.0,therapy,1.8,period,4.3,texas,5.8,housewife,2.4,dystopia,7.5,nazi,6.0,story,8.4,horse,3.1,city,2.3,adventure,10.1,usa,8.4,beverly,3.6
educational,4.5,supernatural,24.6,western,5.0,russian,3.8,investigation,8.2,serial,12.0,family,13.9,family,15.8,research,1.8,friendship,4.2,child,4.7,knight,2.1,england,6.8,action,5.9,world,7.8,combat,3.1,medical,2.3,mafia,8.3,satire,7.6,hills,3.5
island,4.4,anthology,22.1,romance,4.9,apartment,3.7,town,8.1,fbi,8.8,action,13.6,base,14.5,northern,1.7,webtoon,4.2,satire,4.5,lovers,2.0,intrigue,6.7,future,5.8,century,7.3,singer,3.0,religious,2.1,dragon,6.8,news,6.9,online,3.5
toy,3.6,power,20.5,male,4.8,hotel,3.5,true,7.9,city,8.6,animation,13.5,universe,11.3,african,1.7,webcomic,3.9,parent,4.4,unlikely,1.5,century,6.3,spacecraft,5.5,novel,7.0,good,2.8,usa,2.0,seinen,6.7,celebrity,4.8,italy,3.2
experiment,3.3,teen,20.0,massachusetts,4.5,slapstick,3.0,drugs,7.8,york,8.3,life,13.3,fantasy,9.5,big,1.6,triangle,3.8,haunt,3.5,undercover,1.3,royal,5.2,military,4.8,book,7.0,california,2.5,examination,2.0,super,6.6,comedian,3.5,panel,3.2
terrorist,3.2,new,19.8,cooking,4.5,scenes,2.9,alternate,7.7,cop,8.1,workplace,12.9,dog,9.3,bear,1.5,time,3.4,fourth,3.3,dystopian,1.2,sci,4.4,astronaut,4.7,invasion,5.7,actor,2.1,thirty,1.9,japan,6.3,jersey,3.5,hunt,2.7
