name,href,lda_topic0_match_pct,lda_topic1_match_pct,lda_topic2_match_pct,lda_topic3_match_pct,lda_topic4_match_pct,lsa_topic0_cos_match,lsa_topic1_cos_match,lsa_topic2_cos_match,lsa_topic3_cos_match,lsa_topic4_cos_match,lsa_topic5_cos_match,lsa_topic6_cos_match,lsa_topic7_cos_match,lsa_topic8_cos_match,lsa_topic9_cos_match,forced_alt_lda_topic0_match_pct,forced_alt_lda_topic1_match_pct,forced_alt_lda_topic2_match_pct,forced_alt_lda_topic3_match_pct,forced_alt_lda_topic4_match_pct,forced_alt_lda_topic5_match_pct,forced_alt_lda_topic6_match_pct,forced_alt_lda_topic7_match_pct,forced_alt_lda_topic8_match_pct,forced_alt_lda_topic9_match_pct,forced_alt_lda_topic10_match_pct,forced_alt_lda_topic11_match_pct,forced_alt_lda_topic12_match_pct,forced_alt_lda_topic13_match_pct,forced_alt_lda_topic14_match_pct,forced_alt_lda_topic15_match_pct,forced_alt_lda_topic16_match_pct,forced_alt_lda_topic17_match_pct,forced_alt_lda_topic18_match_pct,forced_alt_lda_topic19_match_pct
TURN: Washington's Spies,/title/tt2543328/,0.7094130899311917,0.16014729308746628,0.04321830773097353,0.04313590092406894,0.044085408326299494,0.07275827706741629,0.04979802762473782,0.018145479823472303,0.03790524465980225,0.1831180666359434,-0.012004058469823829,0.05001305184897233,-0.0010781576230470941,0.128725633527166,-0.05368524368531902,0.010713362902665993,0.010713363250085185,0.010713363951432613,0.010713362950182038,0.01071336311545662,0.010713362909405487,0.0107133642784002,0.010713362888638382,0.010713362936537301,0.010713363623961192,0.010713367251222718,0.4831798426302951,0.01071336299800873,0.01071336346010839,0.010713362949701204,0.010713362889175009,0.1858165987340123,0.14887637681531898,0.010713362888638382,0.01071336657675427
Pan Am,/title/tt1826805/,0.6394221250957719,0.04671145609073121,0.2170646135301099,0.04931040532443125,0.04749139995895579,0.10991322249137477,0.06318404429497229,0.08630437709588965,0.07713404415270103,0.3039109671633397,-0.059784094950425755,0.05227036043125057,0.016616689232598587,0.13320966781208696,-0.1012896838312945,0.011368746427862807,0.011368861938424013,0.011368746290474081,0.011368745627707752,0.011368745649521372,0.011368745611738855,0.01136875203039279,0.011368745725453707,0.011368745717951793,0.011368746051552532,0.4097484384441734,0.01136874585993595,0.011368745614437846,0.1053931554252522,0.011368746159022966,0.011368745638342233,0.08417346713567588,0.02579888407347856,0.011368745610807947,0.2043547449677933
Mr Selfridge,/title/tt2310212/,0.8362734165497874,0.04101364217893892,0.04166916405348065,0.04064846039313288,0.040395316824660084,0.06954599000419913,0.062672652560856,0.044000725057302424,0.03989433979156003,0.131897936306197,-0.027242708162594637,0.024200529590157914,-0.012679823810873236,0.12156334634355823,-0.10047509514354377,0.010007076462240944,0.010007076524631332,0.27970016747044396,0.010007089590489677,0.010007076520127512,0.010007076450977332,0.01000707652601778,0.0100070764503768,0.010007076523616007,0.010007081626249791,0.4747752205897324,0.010007221606971154,0.010007076538088092,0.010007088740117197,0.010007076458294888,0.010007088755283498,0.010007251466311274,0.032652321738693105,0.010007076454833059,0.05275870350650418
The Looming Tower,/title/tt6474236/,0.05759835675959828,0.6892656742936645,0.1412856945200884,0.05441634654784535,0.05743392787880342,0.04346093460769117,0.04514258196939484,-0.011215845497068378,0.005675328380814784,0.10751311408443742,0.005022266638309871,0.031345932984373354,0.032813047221926094,0.06909216129175183,-0.0022521180999967687,0.013444274953689717,0.013444275445063193,0.01344427495588841,0.013444274953689939,0.013444274953689718,0.013444274953689718,0.013444274957142309,0.01344427495368972,0.01344427495776199,0.013444275032919681,0.013444277675728113,0.013444276279968798,0.013444275024652516,0.12628929492670127,0.013444274993199884,0.013444274953809218,0.6317137510071504,0.013444275060679344,0.01344427495368972,0.013444275007196426
A Young Doctor's Notebook & Other Stories,/title/tt2164430/,0.4135816168050633,0.03778223970556211,0.06955476718073257,0.44001599415454246,0.03906538215409965,0.15881795680599622,0.04195283304045441,0.09486959380396422,0.024960630303086876,0.20570066389085603,0.027824281959088846,-0.03330896058426861,-0.012046182817751714,0.12672994284197173,-0.07745422036605805,0.009205923855228572,0.009207317563376687,0.009205923744154023,0.009205924275436964,0.009205923691748507,0.2097504490705809,0.0092059519560027,0.009205923830302307,0.009205923684875775,0.009205923676399283,0.21418493087935184,0.0749631037318863,0.009205924055421921,0.009205928165330435,0.009205923723422922,0.009205924256912195,0.009208246357345401,0.05403561580103893,0.009205923676602888,0.3089732940045813
The English Game,/title/tt8403664/,0.7773567675672824,0.05241303154939042,0.05602345289916317,0.050531186720035176,0.06367556126412884,0.07720839447436748,0.08020187588814257,0.0347464750585765,0.023428560158339027,0.25512200932473533,0.01869904745797276,-0.05057475190879408,0.011931935357973525,0.04738083153589587,-0.031552254531206025,0.012544988518399153,0.012544988743924809,0.012544988573709271,0.1537314103932585,0.012545112483236651,0.012544988481268735,0.012544988549367492,0.01254498859793239,0.24766538239868377,0.012544988502454496,0.27125376464981527,0.012544988660772739,0.012544988770536029,0.012545001645847756,0.012544988505126824,0.012545216565965007,0.012544988998042596,0.012544996754701209,0.012544988481741421,0.12662925172521597
The White Princess,/title/tt5705956/,0.8453620436427767,0.03865975060968423,0.0383482125832869,0.03839548987075004,0.03923450329350214,0.12529568200370625,0.06865460767353398,0.12427357255580873,0.1110204362708767,0.21821384056920065,-0.061735555714969,0.08645037248087831,-0.04010835762628951,0.1592171131214946,-0.0708666856239434,0.00957520357796278,0.00957520360236091,0.009575205505087028,0.009575203573884855,0.009575203580069877,0.009575203571012892,0.009575204137725854,0.009575203571012091,0.009575203571096856,0.009575203751429359,0.7183027461293799,0.009575203595425684,0.009575203625045076,0.009575203684639435,0.009575213866262734,0.009575203573144196,0.009575204158903592,0.1093435744643972,0.00957520357109996,0.009575204890059584
When Calls the Heart,/title/tt2874692/,0.7853287663482307,0.05440611984285738,0.05328959109428292,0.05318625831605447,0.05378926439857455,0.130479509388955,0.030010262029516576,0.1732198128758898,0.12590512233249648,0.1603553351321656,-0.18547197956142836,0.04411930698382397,0.06721798737069329,-0.030435809902943395,-0.03327500148404975,0.013286800056419643,0.01328680009391199,0.01328680038847538,0.013286800078583764,0.013286800057763415,0.013286800077517901,0.013286800282510905,0.013286800056419159,0.013286800056666064,0.013286800057891008,0.15551665875008136,0.0874549574856223,0.013286800073224143,0.013286800118071578,0.01328680025416996,0.013286800056419943,0.013286800387884497,0.013286801402420579,0.013286800068974402,0.531152780196972
Drunk History,/title/tt2712612/,0.12997474730759223,0.06062521978774618,0.059860983305221,0.05954565774892292,0.6899933918505177,0.14066611500975987,0.020568398296770478,0.13372734896123012,-0.03080482718279848,0.2731254466357044,0.052572211386582066,-0.018869464502686756,0.003148067537727674,0.12939668710483263,-0.10543228320967377,0.014612558003142885,0.1683668945316083,0.01461274712173832,0.014612557990455688,0.01461255801848206,0.014612557990227247,0.01461255811487769,0.014612558591602652,0.01461255802176034,0.01461255885863135,0.2862993518846739,0.014612558195751977,0.014612558006087439,0.027194527733144007,0.014612558234732493,0.014612559389409972,0.014613883754812785,0.28433677944270913,0.014612557990228137,0.014612558125923582
Show Me a Hero,/title/tt2492296/,0.049514187675263284,0.1638382243502954,0.048368046457128146,0.048992036380473794,0.6892875051368395,0.08443512201711698,0.132492676708786,0.010454025307770896,-0.002199457563997176,0.2118355214385452,0.021813045338646773,-0.022069104337985878,0.006616920580033392,0.11185861357612496,-0.07332290011787881,0.012039531585957199,0.01203953535480249,0.012039544375457564,0.012039531896384131,0.012039531571183072,0.012039532238388615,0.01203953159485377,0.012039540058690498,0.012039531571170799,0.012039532974762974,0.31680272846339974,0.012039533372199743,0.012039544871937835,0.012042836267857846,0.012039533224822506,0.012039531571170213,0.019692928651092848,0.012041273932491776,0.012039531571190754,0.45882721485218564
