Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights
documentary,42.3,animation,101.0,crime,127.6,comedy,137.9,fantasy,64.8
sport,24.4,adventure,79.4,mystery,64.7,romance,74.1,horror,45.3
reality,22.6,action,69.1,thriller,56.2,family,74.0,adventure,36.3
competition,12.1,anime,42.2,police,46.2,sitcom,48.4,sci,35.3
gay,11.7,base,33.1,murder,45.6,school,33.5,base,33.1
sports,11.4,history,32.7,investigation,42.7,music,29.0,action,31.5
war,9.5,superhero,29.5,detective,41.9,relationship,27.7,supernatural,30.0
football,9.2,historical,26.9,base,35.9,friendship,26.1,space,27.4
history,8.4,manga,25.1,novel,30.9,talk,22.3,alien,23.2
nature,7.2,comedy,23.5,book,28.7,teen,21.5,power,20.9
fashion,7.2,short,23.2,true,28.4,high,20.8,future,19.3
miniseries,7.2,century,21.0,criminal,26.1,love,20.4,anthology,19.2
military,6.6,cartoon,19.8,biography,24.8,new,20.2,novel,18.0
nazi,6.1,period,19.7,action,21.7,york,20.2,vampire,17.1
game,5.5,war,18.8,miniseries,21.3,adult,19.4,comic,16.8
soccer,5.2,shounen,16.9,documentary,19.0,city,17.8,mystery,16.8
food,5.1,romance,16.0,killer,18.3,satire,17.7,book,16.7
travel,5.0,world,14.6,story,17.2,animation,15.6,travel,15.4
world,4.9,super,14.4,serial,14.4,reality,15.0,magic,13.8
virtual,4.8,comic,14.0,psychological,14.4,lgbt,14.4,post,13.8
cooking,4.6,power,13.5,spy,14.0,life,14.3,survival,12.8
navy,4.5,martial,12.9,drug,13.7,relationships,14.3,time,12.8
trip,4.4,alien,12.3,fbi,13.6,workplace,14.0,witch,12.6
restaurant,4.4,england,12.0,agent,13.2,california,13.9,apocalyptic,11.9
sexuality,4.3,novel,11.8,conspiracy,12.7,dysfunctional,12.4,video,11.5
camp,4.2,miniseries,11.7,california,12.7,sibling,12.0,paranormal,11.4
biography,4.1,biography,11.6,private,12.4,friends,11.7,planet,11.3
road,4.1,book,11.6,medical,12.1,musical,11.3,game,11.1
animal,4.0,school,10.8,england,11.3,friend,10.8,super,11.1
race,4.0,arts,10.8,lawyer,11.0,game,10.8,animation,10.9
