Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
pharmacist,0.8,ghoul,3.1,kim,7.9,ramsay,1.8,manga,13.8,kitt,1.6,anime,40.8,cosby,0.9,alf,1.1,hercules,1.8,jericho,1.5,muppet,1.6,darcy,2.1,berlin,4.9,netflix,28.4,nye,1.6,recess,0.8,cosmos,2.7,picard,0.9,callaghan,1.0
jinn,0.7,attenborough,2.0,jung,6.2,nightmares,1.0,shonen,6.8,ducktales,1.5,school,29.1,eddy,0.8,macon,1.0,kapoor,1.7,cyber,1.4,jedi,1.5,harlem,0.7,stargate,3.2,detective,24.6,kimmy,1.5,deadwood,0.6,dune,1.6,partridge,0.8,mirren,0.9
sneaky,0.6,slasher,1.2,soo,5.9,bower,0.9,anime,5.4,timmy,1.4,game,28.6,banshee,0.8,hostages,1.0,karan,1.6,olafur,1.2,muppets,1.2,monkeys,0.6,sonic,3.1,crime,24.4,rugrats,1.3,smiley,0.6,wormhole,0.9,bonanza,0.8,animaniacs,0.9
keeping,0.4,hannibal,1.0,korean,5.7,smallville,0.9,dragon,4.5,darkwing,1.2,seasons,28.0,selina,0.6,torchwood,0.9,arora,1.3,euphoria,1.0,eureka,1.0,bumpy,0.6,louie,2.9,police,22.2,rosemary,0.9,wei,0.6,mayfair,0.8,doe,0.8,thorpe,0.8
solicitor,0.4,astronauts,0.8,jin,5.2,dickinson,0.7,kodansha,4.2,csupo,0.9,voiced,27.7,falling,0.5,soni,0.9,pandey,1.2,darri,0.9,claudius,0.8,defenders,0.1,melanie,2.9,murder,20.2,serenity,0.9,gao,0.2,evangelion,0.8,sas,0.7,pinky,0.7
meaney,0.3,falco,0.8,min,5.1,steed,0.7,nominated,4.1,kendrick,0.5,comedy,26.1,jericho,0.1,flux,0.8,nair,1.1,township,0.7,obi,0.8,eject,0.1,nazi,2.9,miniseries,19.5,shen,0.6,miki,0.2,clarice,0.6,cadet,0.6,shaman,0.7
cellmate,0.3,challenger,0.7,hee,5.0,biggest,0.6,serialize,3.9,klasky,0.5,animation,25.0,lots,0.1,terrace,0.8,chatterjee,0.9,panther,0.7,eastenders,0.7,crowe,0.1,sherman,2.8,wife,18.6,klasky,0.3,hui,0.1,adrienne,0.5,asteroid,0.6,conman,0.6
disrupt,0.2,emt,0.7,hyun,4.6,loser,0.6,circulation,3.8,webby,0.4,japanese,24.3,electrician,0.1,hasan,0.7,midwife,0.8,flames,0.7,piggy,0.7,retort,0.1,sheen,2.6,war,17.6,hannibal,0.1,shen,0.1,spacetime,0.5,pistols,0.6,ruined,0.3
thrillist,0.1,geeks,0.7,yoon,4.6,brutus,0.6,tankobon,3.7,dewey,0.3,dvd,22.9,brightly,0.1,pines,0.7,vikram,0.7,till,0.6,rim,0.6,deliberation,0.1,isabel,2.6,bbc,16.9,hui,0.1,soil,0.1,upend,0.3,engel,0.4,masquerade,0.2
escaping,0.1,ferb,0.7,lee,4.5,revisited,0.1,emperor,3.5,bibb,0.2,million,21.9,digit,0.1,wayward,0.6,mythic,0.7,reprising,0.3,babies,0.6,engel,0.1,constantine,2.5,agent,16.6,slasher,0.1,bequeath,0.1,lambs,0.3,seeker,0.1,courts,0.1
quarters,0.1,freaks,0.7,choi,4.4,cuisine,0.1,titans,3.4,breeze,0.1,video,21.9,discontinued,0.1,kanye,0.6,serpent,0.6,lawman,0.1,darth,0.6,admits,0.1,rory,2.5,documentary,16.0,distorted,0.1,hearst,0.1,messiah,0.3,messiah,0.1,purposely,0.1
rory,0.1,slime,0.6,joon,4.3,thq,0.1,ball,3.3,rugrats,0.1,voice,21.9,colourful,0.1,patriot,0.5,saibal,0.6,dusk,0.1,sith,0.6,upheaval,0.1,hernandez,2.5,son,15.9,leaning,0.1,majesty,0.1,alia,0.3,baftas,0.1,staircase,0.1
kardashian,0.1,fifa,0.6,eun,4.2,establishment,0.1,ncis,3.3,quack,0.1,theme,21.8,clair,0.1,defying,0.4,amara,0.5,salmon,0.1,trickster,0.4,iconography,0.1,archer,2.5,rotten,15.8,crest,0.1,confides,0.1,braga,0.3,clifton,0.1,bias,0.1
prolific,0.1,phineas,0.5,seo,3.9,township,0.1,shueisha,3.3,buttons,0.1,manga,21.2,roscoe,0.1,thad,0.3,messiah,0.5,grapple,0.1,julio,0.4,whoopi,0.1,pam,2.4,tomatoes,15.8,macintosh,0.1,individuality,0.1,hannibal,0.3,cristobal,0.1,enlarge,0.1
extremes,0.1,cup,0.5,yoo,3.8,lark,0.1,halo,2.9,hates,0.1,english,20.6,filler,0.1,rectify,0.2,sanjay,0.5,outs,0.1,candle,0.4,misunderstand,0.1,soviet,2.3,john,15.4,belittle,0.1,telefilm,0.1,shinji,0.2,wins,0.1,darkwing,0.1
accused,0.1,ghouls,0.4,jae,3.7,luthor,0.1,naruto,2.8,mishap,0.1,version,20.6,spontaneous,0.1,manual,0.1,undone,0.5,entries,0.1,gonzo,0.3,breeze,0.1,heller,2.3,filming,15.1,grandmaster,0.1,juxtapose,0.1,hawking,0.2,turns,0.1,deliberation,0.1
sleight,0.1,phifer,0.4,woo,3.7,springfield,0.1,sheldon,2.8,soni,0.1,disney,20.3,declared,0.1,activism,0.1,dice,0.4,creep,0.1,skywalker,0.3,blogs,0.1,teller,2.2,woman,15.0,wannabe,0.1,weep,0.1,horizons,0.2,flaming,0.1,scientifically,0.1
reunites,0.1,mekhi,0.4,tae,3.3,slant,0.1,kirsten,2.8,chae,0.1,volume,20.0,balancing,0.1,negro,0.1,arjun,0.4,exceptions,0.1,elsa,0.2,singleton,0.1,macy,2.2,report,14.9,blooper,0.1,stature,0.1,astrophysicist,0.2,slasher,0.1,needle,0.1
interrogator,0.1,reincarnated,0.4,yeon,3.3,jodie,0.1,marianne,2.7,diesel,0.1,action,19.4,superstation,0.1,mekhi,0.1,dhawan,0.3,cellular,0.1,misguided,0.1,reaffirm,0.1,magnum,2.1,british,14.7,minus,0.1,sang,0.1,pluto,0.1,yellow,0.1,buttons,0.1
cristobal,0.1,organization,0.3,kang,3.1,shay,0.1,bugs,2.7,mcpherson,0.1,music,19.3,cheers,0.1,phifer,0.1,martel,0.3,zreik,0.1,josephine,0.1,weep,0.1,locke,2.1,hbo,14.4,csupo,0.1,yong,0.1,philosophical,0.1,dover,0.1,solicitor,0.1
irritating,0.1,shuttle,0.2,joo,3.1,restless,0.1,merlin,2.6,soviet,0.1,guest,19.0,tabitha,0.1,futile,0.1,exploring,0.2,karma,0.1,recollection,0.1,crooked,0.1,gotham,2.1,critic,14.2,phrases,0.1,luckily,0.1,bernadette,0.1,conclusions,0.1,caricatures,0.1
santo,0.1,savannah,0.1,kyung,2.9,flux,0.1,tournament,2.4,dime,0.1,abc,19.0,fingerprint,0.1,idaho,0.1,quint,0.2,firefly,0.1,township,0.1,noonan,0.1,gilmore,2.1,critics,14.0,delusional,0.1,masquerade,0.1,quantum,0.1,bookended,0.1,macneille,0.1
roxana,0.1,ascent,0.1,sang,2.7,potion,0.1,serialization,2.4,sonic,0.1,michael,18.6,suggestions,0.1,justified,0.1,truths,0.2,crocodile,0.1,moms,0.1,paleyfest,0.1,bauer,2.1,officer,13.5,espouse,0.1,superiority,0.1,geneticist,0.1,seed,0.1,welles,0.1
caitlyn,0.1,lobster,0.1,park,2.7,recognisable,0.1,cards,2.3,mallard,0.1,channel,18.6,magna,0.1,schilling,0.1,abhishek,0.2,farce,0.1,callaghan,0.1,masquerade,0.1,traveler,2.0,amazon,13.2,portrayals,0.1,afflict,0.1,urgency,0.1,exams,0.1,tress,0.1
trunk,0.1,smartphones,0.1,sung,2.6,instructions,0.1,waller,2.3,squirrel,0.1,book,18.4,dining,0.1,clues,0.1,enact,0.1,tracked,0.1,prevention,0.1,smartly,0.1,liars,2.0,relationship,13.2,moylan,0.1,acquit,0.1,soviet,0.1,recognized,0.1,sparkle,0.1
hadadi,0.1,sui,0.1,korea,2.6,stipulate,0.1,medieval,2.2,indicator,0.1,novel,18.4,heads,0.1,klasky,0.1,nineteen,0.1,portmanteau,0.1,underwear,0.1,psychopathic,0.1,lucifer,2.0,daughter,13.0,hone,0.1,grader,0.1,hypnosis,0.1,evacuation,0.1,stature,0.1
