Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
experiment,1.1,entrepreneur,2.8,science,4.6,africa,1.8,spacecraft,5.4,flashback,3.4,superhuman,0.8,let,0.1,book,15.7,hero,3.1,work,4.3,romance,5.6,alternate,5.6,discovery,1.8,game,3.9,world,3.1,cop,3.3,road,4.1,lawyer,9.4,affect,0.2
vice,1.1,mad,2.7,victorian,4.6,base,1.6,future,5.2,witchcraft,3.3,study,0.7,landing,0.1,dark,14.3,travel,2.9,worker,4.0,world,5.4,friendship,5.2,redemption,1.8,comedian,3.9,london,3.0,blend,3.3,trip,4.1,psychological,8.9,crack,0.1
comedy,1.1,nerd,2.7,novel,4.5,american,1.5,rated,5.1,memory,3.3,miniseries,0.6,list,0.1,movie,14.2,world,2.9,office,4.0,wizard,5.3,action,5.1,money,1.8,knight,3.8,newspaper,2.9,fourth,3.2,remake,4.0,sci,8.6,civilization,0.1
wealth,1.1,earth,2.6,book,4.4,league,1.5,wild,4.7,mystery,3.2,amy,0.5,wipe,0.1,age,13.1,comic,2.9,big,3.8,kingdom,5.2,ecchi,5.0,escape,1.8,addiction,3.8,politics,2.8,apocalyptic,3.1,small,4.0,secret,6.9,cops,0.1
marine,1.0,genius,2.5,experiment,4.3,seattle,1.5,prequel,4.4,base,3.0,virginia,0.4,result,0.1,come,12.8,rivalry,2.8,friendship,3.7,medieval,4.7,fighting,5.0,boss,1.7,writer,3.8,virus,2.7,mission,2.9,psychological,4.0,government,6.5,clan,0.1
government,1.0,futuristic,2.2,procedural,4.1,southern,1.4,television,4.3,urban,2.9,era,0.4,consequences,0.1,relationship,12.3,warrior,2.8,apartment,3.5,religion,4.5,seinen,4.9,son,1.7,male,3.7,costume,2.7,film,2.8,pennsylvania,3.9,horror,6.4,grand,0.1
global,0.9,greed,2.2,murder,3.4,coach,1.3,spin,4.0,illness,2.8,prequel,0.4,alongside,0.1,sitcom,11.7,japanese,2.8,restaurant,3.5,family,4.4,camp,4.8,recover,1.6,lgbt,3.7,ancient,2.7,lapd,2.7,investigation,3.9,york,6.3,dream,0.1
irreverent,0.8,transformation,2.1,miss,3.2,forces,1.3,detective,3.8,samurai,2.6,deception,0.3,time,0.1,lgbt,11.4,spirit,2.8,retro,3.5,priest,4.4,world,4.8,town,1.6,beverly,3.6,baseball,2.7,crime,2.7,surgeon,3.8,history,6.2,trouble,0.1
superstar,0.8,corporate,2.0,surreal,3.1,animation,1.3,distant,3.8,curse,2.5,roommate,0.3,honor,0.1,female,11.4,assassin,2.7,life,3.5,disappearance,4.3,parallel,4.6,detective,1.5,documentary,3.6,family,2.7,horror,2.7,organize,3.8,city,6.2,account,0.1
science,0.8,sea,2.0,anti,3.1,trap,1.2,century,3.6,power,2.4,spirited,0.2,block,0.1,life,11.0,fight,2.7,child,3.4,trauma,4.1,cooking,4.5,folklore,1.5,hills,3.5,era,2.7,break,2.7,town,3.7,child,6.0,executive,0.1
