name,href,lda_topic0_match_pct,lda_topic1_match_pct,lda_topic2_match_pct,lda_topic3_match_pct,lda_topic4_match_pct,lsa_topic0_cos_match,lsa_topic1_cos_match,lsa_topic2_cos_match,lsa_topic3_cos_match,lsa_topic4_cos_match,lsa_topic5_cos_match,lsa_topic6_cos_match,lsa_topic7_cos_match,lsa_topic8_cos_match,lsa_topic9_cos_match,forced_alt_lda_topic0_match_pct,forced_alt_lda_topic1_match_pct,forced_alt_lda_topic2_match_pct,forced_alt_lda_topic3_match_pct,forced_alt_lda_topic4_match_pct,forced_alt_lda_topic5_match_pct,forced_alt_lda_topic6_match_pct,forced_alt_lda_topic7_match_pct,forced_alt_lda_topic8_match_pct,forced_alt_lda_topic9_match_pct,forced_alt_lda_topic10_match_pct,forced_alt_lda_topic11_match_pct,forced_alt_lda_topic12_match_pct,forced_alt_lda_topic13_match_pct,forced_alt_lda_topic14_match_pct,forced_alt_lda_topic15_match_pct,forced_alt_lda_topic16_match_pct,forced_alt_lda_topic17_match_pct,forced_alt_lda_topic18_match_pct,forced_alt_lda_topic19_match_pct
Game of Thrones,/title/tt0944947/,0.009946723326148533,0.960269713189866,0.009927865084483392,0.009927861062003645,0.009927837337498444,0.26843273505219845,-0.02042604834430116,-0.09060644054321747,0.21074329912476275,-0.06394374135096,0.14139215277736425,-0.023703457254406007,-0.08712465711514748,-0.060328018488096574,-0.034419844650806185,0.002477451005406198,0.0024774509893675718,0.4663862692459102,0.0024774509893680315,0.0024774509893675718,0.0024774527987496565,0.0024774509893675713,0.0024774509893675718,0.0024774509893675713,0.0024774509893675718,0.0024774509893675687,0.00247745099124152,0.0024774517735728792,0.0024774509893675718,0.0024774510137520332,0.4890196101802976,0.0024774509893675713,0.002477451108890007,0.0024774509893675713,0.0024774509991359883
Prison Break,/title/tt0455275/,0.019564764438934228,0.9267158838957021,0.017906471248699363,0.0179064631012259,0.017906417315438426,0.13764211982143143,0.09422731169655392,-0.045861026704677926,-0.03454612085227631,0.009110767699202285,0.03124743015284583,-0.04699035771649634,0.009384442815904276,-0.06745041440158114,-0.02951430987913606,0.004468551833911115,0.004468551516664447,0.5992242471652195,0.004468551516664448,0.004468551516664447,0.00446855152895595,0.004468551516664447,0.004468551516664448,0.004468551627903065,0.004468551516664448,0.004468551787217205,0.004468551516664447,0.004468551516664446,0.004468551516664447,0.004468551516664444,0.32034182481063495,0.004468551529520542,0.004468551516664444,0.004468551516664447,0.004468551516664447
Vikings,/title/tt2306299/,0.02521440752526127,0.8992539973691821,0.025177213772053404,0.02517720206828572,0.025177179265217505,0.11872153060060762,-0.02839620251450686,-0.08080795649368025,0.027768122517654207,0.016995650312311136,0.12739619312770056,-0.05687355462703274,-0.040273918786394095,-0.029825118330311613,-0.02223552863220761,0.05473067683710006,0.006285168886604754,0.5013333938754354,0.006285168886604754,0.006285168886604754,0.006285169394546712,0.006285168886604753,0.006285168886604754,0.006285168886604753,0.006285168886604754,0.006285168886604748,0.006285168886604753,0.006285168975413037,0.006285169101243858,0.006285168886604751,0.33708805626831423,0.006285168886604753,0.006285168889043273,0.006285169489855423,0.006285169416395729
The Boys,/title/tt1190634/,0.015936114222348464,0.9365013742248414,0.015854189242777806,0.015854179739934228,0.015854142570098182,0.29529196849947226,0.04638053670960704,-0.039057091001722555,-0.10614604566568334,-0.07635340124805816,0.07497075191158249,-0.13018982593384956,-0.06837191100612386,-0.24852800872796157,0.035763603692454043,0.0039561772271756515,0.003956177227175653,0.5733632535700166,0.003956177227175653,0.003956177227175653,0.003956177236212915,0.003956177227175652,0.003956177227175653,0.0039561772271756515,0.003956177227175654,0.0039561772271756454,0.003956177227175652,0.003956177227175651,0.003956177230416297,0.003956177228478118,0.355425524132826,0.003956177227175652,0.003956209180700384,0.0039561774660961625,0.0039561772291458255
The Mandalorian,/title/tt8111088/,0.018288805293509992,0.9268539282001155,0.018285775344165117,0.018285765221885304,0.01828572594032425,0.14972653778636652,-0.046886065767828874,-0.10207060039029417,0.059494789917159036,-0.06589835432058995,0.12335986822506756,-0.1000093660870085,-0.042233590097318204,0.0050146514296626745,-0.1197803212789289,0.0045630216984702265,0.00456302169847026,0.42442029013979066,0.004563021698470293,0.004563021698470278,0.0045630217166885935,0.00456302192536153,0.00456302169981595,0.004563021698470212,0.004563021698470301,0.004563408022388121,0.0045630216984702395,0.00456302169847016,0.004563021698470238,0.004563026212246273,0.41399258541611117,0.004563021698470236,0.0840153644808497,0.00456302169847023,0.004563021703575409
The Witcher,/title/tt5180504/,0.016961335656155298,0.9321535414156737,0.016961718817343808,0.016961709106172593,0.016961695004654595,0.2608706708734906,-0.03866569936427809,-0.13192926555728884,0.30218455274643496,-0.13460228859361986,0.11672081010142366,0.01846517038343494,-0.12615344107946763,-0.1587948509718487,-0.0029413844416502724,0.004232932938674894,0.004232932938674896,0.4556782925385413,0.004232932938674896,0.004232932938674896,0.004232935064391802,0.004232933010405729,0.004232932938674896,0.004232932938674894,0.004232932938674896,0.004232932941893098,0.004232932941057079,0.004232932938674893,0.004232932938674895,0.004232932938674892,0.46812888827996385,0.004232932938674895,0.004232957020973621,0.004232932938674895,0.004232932938674894
Money Heist,/title/tt6468322/,0.01553644058499114,0.9379707526578092,0.01549762266411322,0.015497612393025443,0.015497571700060973,0.12791760691610635,0.11840543102858647,-0.031087780459404794,-0.052913718321983126,0.016992469606582683,0.02381853454327206,-0.020395138092566663,-0.0053682609768122185,-0.07280760055777019,-0.009916629587481445,0.0038664017507376094,0.0038664016969239606,0.5370386141591612,0.003866401696923966,0.0038664016969239636,0.003866402074042277,0.003866401696923956,0.003866401696923965,0.0038664016969239545,0.0038664016969239667,0.0038664017021837107,0.003866401696923958,0.003866401702558278,0.003866401697825055,0.0038664016969239376,0.3907378136347211,0.0038664016969239576,0.006494742915489453,0.003866401697032943,0.003866401697008894
Squid Game,/title/tt10919420/,0.01538996577463092,0.9386059082751715,0.015334723227378382,0.015334715658332247,0.015334687064486966,0.13426060235619497,0.01188898818722148,-0.0354570944720091,0.02631276252573188,-0.0032809454783380887,0.004824400396580548,-0.03261027887843163,0.014144472001561196,0.03360539342252664,-0.06825515900172578,0.003826042986050578,0.0038260429860507896,0.46077264028122483,0.003826042986050887,0.0038260429888879507,0.003826189269383334,0.0038260429863531515,0.0038260430698961387,0.0038260429983868463,0.0038260429860509123,0.12707597665824105,0.0038260429860507293,0.0038260430476295126,0.0038260429860507246,0.0038260456059972083,0.3471085032328868,0.003826042986050719,0.0038260429862642838,0.0038260429861830484,0.003826042986310532
Daredevil,/title/tt3322312/,0.017140054930597066,0.9315013508715746,0.017119548725079477,0.0171195435062118,0.017119501966537276,0.18454317304588685,0.07028388181381856,-0.09003984939147684,-0.050990825172311835,-0.021110860780021556,0.10662609566835339,-0.15675505533888665,-0.09361957141258669,-0.214938155372823,0.02401948977338504,0.004272774044078375,0.0042727016282076485,0.45042721222379156,0.004272701628207649,0.0042727016282076485,0.0042727016415140566,0.004272701628207648,0.004272701628207649,0.004272701628207648,0.004272701628207649,0.004272701628207645,0.00427270224156318,0.0042727021909688195,0.0042727016282076485,0.004272701628207645,0.47266408486299955,0.0042727016282076485,0.004272701628385181,0.004272701628207648,0.004272701628207647
Arrow,/title/tt2193021/,0.014714013754730174,0.9411565983811188,0.014709812309648872,0.014709804242871691,0.014709771311630497,0.22152478688039856,0.029767697324858743,-0.14427663315503492,-0.050403701816385295,-0.041101259336373624,0.13202118747484262,-0.193858815947753,-0.12329390388046746,-0.21252892109464216,0.050711263738658446,0.0036711694517422783,0.0036711694537443626,0.604206226430812,0.0036711694517422796,0.0036711694517422796,0.003671170763997207,0.0036711694517422783,0.0036711694517422796,0.0036711694517422783,0.0036711694517422796,0.0036711694517425077,0.0036711694517422787,0.003671169451742278,0.0036711694517422787,0.0036711694740460487,0.32971272210114305,0.0036711694517422787,0.0036711694517422774,0.003671169451865316,0.0036711694517422783
Attack on Titan,/title/tt2560140/,0.021888593299110668,0.9124418807183358,0.021889836801263475,0.021889825375606284,0.02188986380568383,0.2515301661760962,-0.16728300793016,-0.24678884633368747,0.026991280805739176,0.17729980575398127,-0.08670055867261296,0.14637066558900033,0.07514784165144632,-0.06750855348665012,-0.19032774059819285,0.005463383924133349,0.00546338392413335,0.44193465012402716,0.005463383924133351,0.00546338392413335,0.14519005267155094,0.005463383924133349,0.00546338392413335,0.005463383924133349,0.005463383924133351,0.0054633839252247515,0.00546338392413335,0.0054633839241333484,0.00546338392413335,0.005463383927690585,0.31999777048950623,0.00546338392413335,0.005463383924133348,0.00546338392413335,0.005463383924133349
The Last of Us,/title/tt3581920/,0.013717978071574485,0.9451263814092011,0.013718563734521688,0.013718554502285412,0.013718522282417352,0.18052408754953977,-0.03622656304027668,-0.09819622919125491,0.10287090268227815,-0.09319729037912755,0.07649694108966174,-0.04760927691003918,0.014844464744458663,-0.008055289075230085,-0.05567323408820909,0.0034225202924424935,0.0034225202924202704,0.5008831783326833,0.003422520292420271,0.0034225202924202704,0.0034225203003467107,0.00342252029242027,0.003422520292420271,0.00342252029242027,0.003422520292420271,0.0034225202924205427,0.00342252029242027,0.0034225202924202695,0.0034225202943104264,0.0034225204547023757,0.4114753144047428,0.00342252029242027,0.029458662119308247,0.00342252029242027,0.0034225202924202695
The Flash,/title/tt3107288/,0.01566958808083468,0.9375893088444317,0.015580382639353463,0.015580374780657267,0.015580345654722863,0.20273243654570658,-0.05067715293281993,-0.15937302581516083,-0.002824709048170695,-0.0573493884337874,0.14851724838041047,-0.20824096731757052,-0.13855430485806655,-0.21893525950889858,0.01743034714838737,0.0038889391332403433,0.0038889391332400237,0.5707663414494014,0.0038889391332400237,0.0038889391332400237,0.0038889392911881683,0.0038889391393427215,0.0038889391332400237,0.0038889545783293883,0.0038889391332400237,0.0038889391332400203,0.00388893942155025,0.003888939133240023,0.003888939133247204,0.003888939226206632,0.3592327381439286,0.0038889391332400233,0.0038889391510071136,0.0038889391333980865,0.0038889391332400233
